games_played_with_card_in_deck,rank_category,dbf_id,card_name
106,Rank5,39046,"Nat, the Darkfisher"
474,GrindTo15,40695,Shadow Sensei
2804,GrindTo5,40698,Jade Shuriken
169,GrindTo15,712,War Golem
8696,GrindTo5,45287,Silver Vanguard
339,Rank10,38329,Infest
542,Rank15,855,Millhouse Manastorm
596,Rank5,891,Sunfury Protector
451111,GrindTo10,559,Leeroy Jenkins
16261,GrindTo15,41158,Mana Bind
1134634,GrindTo15,754,Spellbreaker
282415,GrindTo10,437,Animal Companion
288483,GrindTo15,64,Swipe
684051,GrindTo10,39715,Firelands Portal
237321,GrindTo15,39841,"Medivh, the Guardian"
18144,GrindTo10,41353,Jeweled Macaw
107303,GrindTo10,40426,Alleycat
377849,Rank15,41566,Mistress of Mixtures
107222,GrindTo15,40455,Jade Lightning
25583,GrindToLegend,39169,Babbling Book
204371,Rank15,42395,Saronite Chain Gang
4999,GrindTo15,42783,Happy Ghoul
123600,Legend,138,Doomsayer
70369,GrindTo15,890,Tirion Fordring
260772,GrindToLegend,192,Ice Block
145601,GrindTo5,43417,Malfurion the Pestilent
280591,GrindTo15,40938,Dragonfire Potion
279960,GrindTo15,41145,Sunkeeper Tarim
130185,GrindTo15,279,Holy Smite
205063,GrindTo15,667,Fan of Knives
54322,GrindTo15,1167,Aldor Peacekeeper
84065,GrindTo15,42773,Acherus Veteran
8231,GrindTo15,38447,Darkshire Librarian
180799,GrindTo15,1014,Wild Pyromancer
6921,GrindTo15,348,Dark Iron Dwarf
91745,Rank15,41316,Golakka Crawler
86069,GrindTo15,46103,Tainted Zealot
82685,GrindTo15,40393,Bloodfury Potion
69368,Rank10,585,Explosive Trap
10708,GrindTo10,46495,Gilded Gargoyle
58664,Legend,40299,Kabal Lackey
7066,GrindToLegend,38727,Call of the Wild
101805,GrindToLegend,974,Soulfire
131987,Rank10,41177,Curious Glimmerroot
23186,Rank10,46263,Val'anyr
265147,GrindToLegend,315,Fireball
32137,GrindToLegend,196,Vanish
18472,Rank15,40696,Gadgetzan Ferryman
12427,GrindTo15,41350,Grievous Bite
8616,GrindTo10,40371,Smuggler's Run
146674,GrindTo10,912,Harrison Jones
139824,Rank10,41323,Fire Fly
476286,GrindTo5,1073,Knife Juggler
83675,Rank10,757,Argent Squire
6965,Rank15,42698,Mountainfire Armor
4525,Legend,400,Battle Rage
256720,GrindToLegend,748,Kirin Tor Mage
15604,GrindTo15,45835,Grizzled Guardian
127174,GrindTo5,41263,Bittertide Hydra
154647,GrindTo15,1361,Divine Spirit
205293,GrindTo10,38792,Eater of Secrets
24074,Rank5,195,Mirror Entity
63679,Rank5,42598,Obsidian Statue
53975,GrindTo10,41159,Volcano
121279,GrindTo10,46499,Dragoncaller Alanna
33442,Legend,42442,Cobalt Scalebane
141304,Rank5,42009,Free From Amber
9145,Legend,45707,Dire Mole
495225,GrindTo5,45899,Duskbreaker
600596,GrindTo10,39554,Netherspite Historian
90259,Rank10,40596,Aya Blackpaw
68602,Rank10,41878,Meteor
100617,Rank10,296,Kill Command
720735,GrindTo10,46056,Voidlord
652401,GrindTo10,1092,Mortal Coil
43709,GrindToLegend,268,Cold Blood
140169,GrindTo10,41945,Lightfused Stegodon
221228,GrindTo10,45341,Prince Taldaram
720243,GrindTo10,42471,Defile
1170,Legend,38920,Bloodsail Cultist
137734,Rank5,993,Mountain Giant
97359,Rank5,45341,Prince Taldaram
3341,Rank10,445,Reckless Rocketeer
33588,Rank10,41358,Crackling Razormaw
44645,GrindTo15,43373,Potion of Heroism
103423,Rank10,41265,Gentle Megasaur
52947,Rank5,43294,Branching Paths
41557,GrindTo10,40605,Auctionmaster Beardo
4830,Legend,40696,Gadgetzan Ferryman
7172,GrindTo15,42716,Ice Walker
160,GrindToLegend,39465,Moat Lurker
6384,Rank5,41099,Jungle Giants
7262,GrindToLegend,42711,Bearshark
10241,Rank15,39380,Silverware Golem
7021,GrindTo10,45366,Arfus
65576,Legend,46040,"Rin, the First Disciple"
36931,Rank15,43406,Uther of the Ebon Blade
15388,Legend,46403,Zola the Gorgon
16669,Rank10,46303,Unstable Evolution
66402,GrindTo5,46499,Dragoncaller Alanna
12994,Rank5,163,Sacrificial Pact
31059,Rank10,801,Crazed Alchemist
6972,GrindTo15,41086,Elder Longneck
1156,GrindTo15,39197,Kara Kazham!
10477,Rank10,41173,Crystalline Oracle
19057,GrindTo15,38488,Twin Emperor Vek'lor
28343,GrindTo10,622,Stormwind Knight
1991,Rank15,39696,Menagerie Warden
32391,Rank15,46541,Leyline Manipulator
11652,GrindTo5,290,Ironbeak Owl
2340,GrindTo15,41869,Cruel Dinomancer
1416,Rank15,285,Cruel Taskmaster
4471,GrindTo15,1401,Raid Leader
52231,Rank10,43121,Vulgar Homunculus
20443,Rank15,42652,Play Dead
1102,Rank15,496,Frostwolf Warlord
20869,Rank5,1144,King Krush
9961,GrindTo15,767,Earth Shock
12329,GrindTo10,43414,Lesser Ruby Spellstone
5476,Rank5,40541,Abyssal Enforcer
6666,GrindTo10,38517,Nerubian Prophet
6583,Legend,546,Shield Slam
1046,GrindTo15,926,Imp Master
18767,Rank10,739,Bluegill Warrior
8056,GrindToLegend,43505,Bring It On!
6498,GrindTo15,860,Sense Demons
4696,GrindTo10,710,Sinister Strike
8206,Rank10,763,Defender of Argus
1439,GrindTo10,1109,Injured Blademaster
5808,Rank5,46557,Dragonhatcher
13695,GrindTo5,40803,"Finja, the Flying Star"
16823,Rank10,43506,Sindragosa
220,Rank5,940,Cleave
23542,GrindToLegend,1261,Savannah Highmane
4417,Rank5,45338,Shadowblade
1775,GrindTo10,39374,Onyx Bishop
1829,Rank15,38329,Infest
