plays	turn	game_type	play_category
52	50	2	DRUID
6	76	2	The Coin
8	68	3	Other
25	41	30	MAGE
4	59	3	PALADIN
17	67	30	WARRIOR
1	52	30	WARLOCK
4	53	2	WARLOCK
12	89	30	Other
22	51	3	The Coin
15	50	2	MAGE
1	53	30	The Coin
1	89	2	ROGUE
1	65	30	DRUID
2	51	30	The Coin
1	52	30	ROGUE
486184	28	2	Other
209998	33	2	Other
2597	66	2	Other
42467	13	2	PALADIN
5210	28	2	PALADIN
1697	33	2	PALADIN
19000	4	2	PRIEST
25834	10	2	PRIEST
58397	9	2	SHAMAN
649	36	2	SHAMAN
54538	11	2	ROGUE
5799	25	2	ROGUE
677	41	2	DRUID
5999	26	2	The Coin
52587	16	2	The Coin
458	39	2	The Coin
2259	67	2	Other
5488	48	2	NEUTRAL
49110	30	2	NEUTRAL
20741	37	2	NEUTRAL
17451	45	3	Other
46455	16	3	HUNTER
60880	16	3	PRIEST
62284	18	3	PRIEST
7344	39	3	PRIEST
18908	6	3	SHAMAN
5785	35	3	SHAMAN
2002	45	3	MAGE
895	45	3	DRUID
15480	30	3	WARLOCK
17614	22	3	The Coin
261	42	3	The Coin
4712	41	3	WARRIOR
372	28	3	NEUTRAL
8913	30	3	ROGUE
65365	9	3	WARLOCK
1555	14	30	HUNTER
2630	12	30	WARLOCK
2068	26	30	PRIEST
5374	18	30	SHAMAN
1422	26	30	SHAMAN
4720	40	30	Other
903	28	30	WARRIOR
729	31	30	WARRIOR
3611	7	30	ROGUE
2097	8	30	MAGE
4498	8	30	DRUID
2643	11	30	PALADIN
115	39	30	SHAMAN
289	43	30	WARRIOR
1808	33	30	NEUTRAL
2814	24	30	NEUTRAL
868	41	30	NEUTRAL
455	56	30	Other
66	44	2	SHAMAN
1269	2	3	WARLOCK
621	39	3	HUNTER
8	45	30	PALADIN
512	45	3	PALADIN
7	42	30	ROGUE
82	59	3	PRIEST
12	1	3	SHAMAN
21	40	30	PALADIN
81	56	3	MAGE
24	52	3	The Coin
25	37	30	ROGUE
22	45	2	ROGUE
9	65	3	Other
6	1	3	PRIEST
14	7	30	The Coin
1	61	30	DRUID
2	60	2	WARLOCK
6	77	30	PRIEST
17	1	3	HUNTER
11	66	30	NEUTRAL
8	47	2	HUNTER
9	46	30	MAGE
2	86	2	DRUID
4	48	30	ROGUE
5	3	2	The Coin
1	83	2	NEUTRAL
1	58	30	The Coin
37885	8	2	HUNTER
62326	10	2	WARLOCK
6121	60	2	Other
8199	25	2	PALADIN
11585	23	2	PALADIN
15699	21	2	PALADIN
2664	41	2	PRIEST
39944	1	2	SHAMAN
861	35	2	SHAMAN
9440	41	2	WARRIOR
4818	2	2	ROGUE
13988	25	2	DRUID
3539	54	2	WARRIOR
1892	68	2	Other
7106	46	2	NEUTRAL
61449	28	2	NEUTRAL
38789	32	2	NEUTRAL
1517	30	2	ROGUE
4487	50	3	Other
1175	49	3	PRIEST
13869	28	3	ROGUE
749	40	3	ROGUE
153520	19	3	MAGE
148163	17	3	MAGE
8816	38	3	MAGE
92946	19	3	DRUID
34299	25	3	WARRIOR
50935	19	3	PALADIN
9065	32	3	WARLOCK
93034	17	3	DRUID
99897	13	3	DRUID
44689	2	30	Other
2101	18	30	WARLOCK
597	26	30	WARLOCK
175	2	30	MAGE
914	2	30	DRUID
13000	4	30	The Coin
10484	10	30	The Coin
232	30	30	PALADIN
1276	23	30	WARRIOR
1146	25	30	WARRIOR
977	27	30	WARRIOR
1588	48	30	Other
