nzoth_created_entity,week_of_year,year,game_type,card_class,num_occurances,wins
Zombie Chow,33,2017,BGT_RANKED_WILD,PRIEST,1447,916
Explosive Sheep,33,2017,BGT_RANKED_WILD,PRIEST,413,248
Piloted Sky Golem,33,2017,BGT_RANKED_WILD,PRIEST,325,216
Possessed Villager,33,2017,BGT_RANKED_STANDARD,WARLOCK,294,123
Jade Swarmer,33,2017,BGT_RANKED_STANDARD,PRIEST,417,273
Tortollan Shellraiser,33,2017,BGT_RANKED_STANDARD,ROGUE,314,158
Devilsaur Egg,33,2017,BGT_RANKED_STANDARD,WARRIOR,1450,900
Shimmering Tempest,33,2017,BGT_RANKED_WILD,PRIEST,234,171
Exploding Bloatbat,33,2017,BGT_RANKED_STANDARD,PRIEST,200,139
Loot Hoarder,33,2017,BGT_RANKED_STANDARD,WARLOCK,112,39
Bloodmage Thalnos,34,2017,BGT_RANKED_STANDARD,ROGUE,3344,1806
Sylvanas Windrunner,34,2017,BGT_RANKED_WILD,DRUID,334,220
Mad Scientist,34,2017,BGT_RANKED_WILD,MAGE,1264,695
Sludge Belcher,34,2017,BGT_RANKED_WILD,ROGUE,19293,13960
Infested Tauren,34,2017,BGT_RANKED_WILD,HUNTER,169,90
Mistress of Mixtures,34,2017,BGT_RANKED_WILD,ROGUE,2231,1456
Arfus,34,2017,BGT_RANKED_WILD,PRIEST,997,683
Infested Tauren,34,2017,BGT_RANKED_STANDARD,WARLOCK,301,147
Cairne Bloodhoof,35,2017,BGT_RANKED_STANDARD,HUNTER,428,223
Sylvanas Windrunner,35,2017,BGT_RANKED_WILD,SHAMAN,1136,731
Sludge Belcher,35,2017,BGT_RANKED_WILD,PRIEST,11050,7552
Piloted Shredder,35,2017,BGT_RANKED_WILD,MAGE,919,584
Boom Bot,35,2017,BGT_RANKED_WILD,WARRIOR,644,369
Huge Toad,35,2017,BGT_RANKED_WILD,HUNTER,416,225
Twilight Summoner,35,2017,BGT_RANKED_STANDARD,PRIEST,818,539
Polluted Hoarder,35,2017,BGT_RANKED_STANDARD,PRIEST,442,267
Devilsaur Egg,35,2017,BGT_RANKED_STANDARD,HUNTER,1156,604
Igneous Elemental,35,2017,BGT_RANKED_STANDARD,PRIEST,664,415
Bone Drake,35,2017,BGT_RANKED_STANDARD,ROGUE,405,216
Obsidian Statue,35,2017,BGT_RANKED_STANDARD,PRIEST,45977,34499
Shallow Gravedigger,35,2017,BGT_RANKED_STANDARD,PRIEST,4315,2674
Spawn of N'Zoth,35,2017,BGT_RANKED_WILD,PRIEST,151,90
