gameplayed,archetype_id,postnerf
293790,228,FALSE
1904,16,FALSE
1285,167,FALSE
41120,236,FALSE
1302,50,TRUE
5,35,TRUE
1,69,TRUE
1217086,162,TRUE
125,159,TRUE
73767,168,TRUE
1159096,196,FALSE
199,191,FALSE
252852,228,TRUE
1264,232,TRUE
37790,79,FALSE
96,34,FALSE
32088,171,TRUE
3517,200,TRUE
8501,234,FALSE
163,8,FALSE
1954102,63,FALSE
62,19,TRUE
1402352,157,FALSE
1254,167,TRUE
3234,128,TRUE
1083,151,FALSE
177,177,FALSE
18536,126,FALSE
32325,79,TRUE
24811,22,FALSE
450585,61,FALSE
31310,127,TRUE
588206,137,TRUE
6,143,TRUE
87,177,TRUE
111714,222,TRUE
4011957,215,FALSE
67677,235,FALSE
30,41,TRUE
185,51,TRUE
1387,16,TRUE
228,131,FALSE
60105,214,FALSE
247425,218,FALSE
1249214,221,TRUE
30975,227,FALSE
1210,227,TRUE
14,20,TRUE
151717,1,TRUE
2887047,36,FALSE
18,59,TRUE
37494,139,TRUE
1180,129,FALSE
1281552,179,FALSE
242728,206,FALSE
28569,60,FALSE
24027,225,TRUE
922,229,TRUE
35264,239,FALSE
43,42,TRUE
552868,137,FALSE
2699,128,FALSE
4985,139,FALSE
249551,169,TRUE
80766,184,FALSE
415750,196,TRUE
200794,222,FALSE
174904,218,TRUE
601034,212,FALSE
45985,211,TRUE
188206,9,FALSE
616,189,TRUE
1496119,182,TRUE
3674601,216,TRUE
38,39,TRUE
49,46,TRUE
247,66,FALSE
380342,56,FALSE
242,58,FALSE
1363,55,TRUE
844,160,TRUE
13328,144,TRUE
736779,168,FALSE
1572415,231,TRUE
2124,232,FALSE
10955,62,TRUE
3190,241,TRUE
370,154,FALSE
293,170,FALSE
211581,184,TRUE
107,159,FALSE
442,198,TRUE
242,204,TRUE
360370,212,TRUE
9287,217,FALSE
215152,223,TRUE
650252,220,FALSE
91,43,TRUE
785009,25,FALSE
5,57,FALSE
117307,141,FALSE
8,153,FALSE
1503,148,TRUE
2577691,149,TRUE
89115,9,TRUE
1286,213,TRUE
217395,7,FALSE
41283,240,TRUE
80,41,FALSE
50,3,TRUE
178,66,TRUE
1639,50,FALSE
788,64,TRUE
4231157,11,FALSE
29,70,FALSE
1,74,FALSE
2987,147,TRUE
33264,142,FALSE
5336,242,TRUE
