player_class,card_name,dbfid,times_played,wins
MAGE,Open the Waygate,41168,136831,56944
HUNTER,Unleash the Hounds,1243,136624,56142
DRUID,Arcane Tyrant,43483,136161,75610
DRUID,Aya Blackpaw,40596,135850,81249
PALADIN,Reinforce,2832,134917,56959
PALADIN,The Four Horsemen,43013,130329,77286
MAGE,Pyroblast,1087,129989,87941
WARLOCK,The First Seal,46039,128930,77767
WARLOCK,Demonfire,1142,128744,61516
PALADIN,Noble Sacrifice,584,127714,62026
SHAMAN,Jade Claws,40529,127214,60996
SHAMAN,Unstable Evolution,45904,126014,61191
PALADIN,Consecration,476,124055,57288
WARLOCK,Saronite Chain Gang,42395,123255,57987
WARLOCK,"N'Zoth, the Corruptor",38496,123222,79366
PRIEST,Pint-Size Potion,40936,121887,66635
ROGUE,Southsea Deckhand,724,121740,63699
WARLOCK,Spiritsinger Umbra,41289,119938,71291
HUNTER,Deadly Shot,1093,118856,49637
WARLOCK,Doomsayer,138,118086,58421
WARRIOR,Shield Block,1023,117480,50729
HUNTER,Greater Emerald Spellstone,43361,117206,68009
WARRIOR,Blood Razor,42700,116731,51396
PRIEST,Barnes,39941,116134,75398
SHAMAN,Totemic Call,40247,115042,46939
PALADIN,Spikeridged Steed,41864,111359,54711
HUNTER,Scavenging Hyena,1281,111238,53221
PRIEST,Bonemare,42790,111075,66590
SHAMAN,Maelstrom Portal,39712,108686,47386
HUNTER,Dire Mole,45707,107033,52015
DRUID,Enchanted Raven,39350,106250,50793
PRIEST,Kabal Songstealer,40929,105041,55799
PALADIN,Silver Hand Recruit,1652,104967,47649
SHAMAN,Jade Lightning,40455,104263,48581
DRUID,Jade Spirit,40527,104148,55584
PRIEST,Spellbreaker,754,104138,53194
WARLOCK,Skulking Geist,42784,103783,60565
DRUID,Mark of the Lotus,40397,103646,57715
PRIEST,Faerie Dragon,609,103310,51217
HUNTER,Savannah Highmane,1261,102789,48819
PRIEST,Psychic Scream,43112,102297,47152
WARLOCK,The Second Seal,46038,100579,63082
ROGUE,Blade Flurry,1064,100129,49156
DRUID,Fandral Staghelm,38318,99890,55871
PALADIN,Redemption,140,99190,53622
WARRIOR,Execute,785,99071,41716
HUNTER,Deathstalker Rexxar,43398,98731,38002
HUNTER,Hunter's Mark,141,98406,42176
PALADIN,Stonehill Defender,41243,98209,46052
HUNTER,Bearshark,42711,97953,44875
SHAMAN,Mana Tide Totem,513,97638,44102
WARLOCK,Glacial Shard,41111,97604,47577
MAGE,Arcane Tyrant,43483,97154,51686
PALADIN,Equality,756,96517,42349
MAGE,Flame Elemental,42044,96426,44362
PALADIN,Getaway Kodo,40587,96130,46768
MAGE,Skulking Geist,42784,96108,54060
DRUID,Mire Keeper,38718,95577,48714
DRUID,Greater Jasper Spellstone,43290,95171,52122
ROGUE,Captain Greenskin,456,94818,59726
PALADIN,Loot Hoarder,251,93465,45242
PRIEST,Grand Archivist,46032,92882,53699
MAGE,"Medivh, the Guardian",39841,92172,55377
ROGUE,Bloodmage Thalnos,749,92122,44607
MAGE,Acolyte of Pain,1659,91895,44449
HUNTER,Steady Shot,2833,91524,44383
PRIEST,Novice Engineer,284,91104,40596
DRUID,Jasper Spellstone,43289,91087,48817
SHAMAN,Transmute Spirit,42982,89920,38778
WARLOCK,Acidic Swamp Ooze,906,89879,46451
ROGUE,Glacial Shard,41111,87225,43722
DRUID,Spellbreaker,754,85386,41121
DRUID,Lesser Jasper Spellstone,43288,85107,41440
SHAMAN,Fire Fly,41323,85065,39211
ROGUE,Mimic Pod,41212,84319,39290
SHAMAN,Devolve,40694,83322,33935
WARLOCK,The Third Seal,46037,82893,54039
MAGE,Flame Geyser,41151,82323,40828
ROGUE,Hallucination,42011,81885,37087
SHAMAN,The Coin,1746,81850,35100
SHAMAN,Flametongue Totem,1008,81484,40445
SHAMAN,Thing from Below,38267,81408,36936
HUNTER,Spellbreaker,754,81096,35699
PRIEST,The Lich King,42818,80964,47380
WARRIOR,Bladestorm,45585,80827,41502
HUNTER,Tundra Rhino,699,80441,37124
PALADIN,Dirty Rat,41567,80422,36045
MAGE,Mirror Image,1084,80260,34814
DRUID,Fire Fly,41323,80053,38945
WARLOCK,Fire Fly,41323,79055,38292
ROGUE,Novice Engineer,284,78079,39972
ROGUE,Stonetusk Boar,648,77721,46234
SHAMAN,Flame Elemental,42044,77066,34079
WARLOCK,Vicious Fledgling,41247,75735,38009
PALADIN,Argent Squire,757,75032,38431
HUNTER,Dire Wolf Alpha,985,74427,36307
HUNTER,,,74196,43503
PRIEST,Shadowreaper Anduin,43408,73893,38308
HUNTER,To My Side!,45546,73727,38541
PALADIN,Aldor Peacekeeper,1167,73620,31442
WARRIOR,Acolyte of Pain,1659,73364,32007
PALADIN,Lost in the Jungle,41912,72552,37040
DRUID,Flame Elemental,42044,72299,33945
PRIEST,Holy Smite,279,71579,36767
WARLOCK,The Fourth Seal,46035,70195,47398
SHAMAN,Evolve,38266,70113,36242
ROGUE,Leeroy Jenkins,559,69631,47872
WARRIOR,The Coin,1746,69282,28202
WARRIOR,Sleep with the Fishes,41414,69065,30624
PRIEST,Circle of Healing,1362,68684,33512
PALADIN,Plated Beetle,45930,68564,33230
PALADIN,Wild Pyromancer,1014,67657,30433
MAGE,Archmage Antonidas,1080,67094,54373
HUNTER,Cloaked Huntress,39492,67093,35137
HUNTER,Kindly Grandmother,39481,66822,32098
DRUID,Druid of the Swarm,42651,64675,29680
MAGE,Volcanic Potion,40297,64507,26225
WARLOCK,Tainted Zealot,46103,64308,30633
PRIEST,Ysera,1186,64223,38235
PRIEST,Tortollan Shellraiser,41180,64187,30150
MAGE,Arcane Missiles,564,64174,29116
WARLOCK,Flame Elemental,42044,64129,29411
WARRIOR,Brawl,75,63837,23474
PALADIN,Potion of Heroism,43373,63713,30386
WARLOCK,Prince Keleseth,45340,63636,35163
DRUID,Power of the Wild,503,62936,30547
PRIEST,Mass Dispel,1366,62768,27905
HUNTER,Jeweled Macaw,41353,62497,27263
SHAMAN,Jade Spirit,40527,62447,29526
DRUID,Naturalize,233,62202,29334
MAGE,Alexstrasza,581,61910,35287
WARRIOR,Slam,1074,61351,25811
WARLOCK,The Final Seal,46034,59860,41744
HUNTER,Flare,896,59752,26721
DRUID,Mark of Y'Shaarj,38337,59543,30222
SHAMAN,Hex,766,59486,23543
MAGE,Shimmering Tempest,41927,59241,24690
PRIEST,Spirit Lash,42992,59225,26377
DRUID,Dire Mole,45707,58985,27689
HUNTER,Emerald Spellstone,43362,58651,29654
PALADIN,Bluegill Warrior,739,58630,28683
DRUID,Earthen Scales,41081,58188,31138
DRUID,Innervate,254,58040,28279
MAGE,Mana Bind,41158,57587,29093
WARRIOR,Shield Slam,546,57518,26340
PRIEST,Crystalline Oracle,41173,57445,25976
MAGE,Time Warp,41167,56456,43787
MAGE,Water Elemental,395,56308,24880
SHAMAN,Primalfin Totem,41105,56179,26017
PALADIN,Dire Wolf Alpha,985,56122,29332
MAGE,Spellbender,366,55972,31043
PRIEST,Book Wyrm,39210,55951,29104
WARLOCK,Bloodmage Thalnos,749,55915,27512
PALADIN,Burgly Bully,40954,55697,30087
HUNTER,Barnes,39941,55245,35272
ROGUE,Youthful Brewmaster,415,55066,28380
ROGUE,Gadgetzan Ferryman,40696,54987,28220
ROGUE,Evasion,45535,54901,22307
PALADIN,Purifier's Maul,45780,54275,31832
PRIEST,Acidic Swamp Ooze,906,54262,27077
PRIEST,Skulking Geist,42784,54078,29677
PALADIN,Truesilver Champion,847,53912,24600
DRUID,Crypt Lord,43025,53804,23795
SHAMAN,Doppelgangster,40953,53610,27168
PALADIN,Tirion Fordring,890,53582,25648
ROGUE,Cheat Death,45520,53496,25388
MAGE,Lesser Ruby Spellstone,43414,53391,23829
MAGE,Deck of Wonders,43424,52884,20311
DRUID,Greedy Sprite,45945,52720,25342
MAGE,Leyline Manipulator,46541,52675,27888
MAGE,Cone of Cold,430,52159,23013
PALADIN,Champion's Maul,45779,52085,27002
DRUID,Tar Creeper,41418,51254,22924
PALADIN,Blessed Maul,45778,51217,27522
ROGUE,Prince Keleseth,45340,50457,26162
PRIEST,"Y'Shaarj, Rage Unbound",38312,50332,33253
MAGE,Vaporize,286,50324,23065
WARRIOR,Drywhisker Armorer,46031,50222,21142
HUNTER,Secretkeeper,158,49562,27050
ROGUE,Tar Creeper,41418,49095,21166
PRIEST,Twilight's Call,45353,48793,24946
WARRIOR,Ravaging Ghoul,38530,48480,20542
PRIEST,Cabal Shadow Priest,272,48277,28052
MAGE,Spellbreaker,754,48129,22592
MAGE,Acidic Swamp Ooze,906,47948,23233
MAGE,Breath of Sindragosa,43502,47927,22463
WARRIOR,"DIE, INSECT!",41940,47350,25259
WARRIOR,Armorsmith,596,47325,20557
ROGUE,The Caverns Below,41222,46975,21067
PALADIN,Uther of the Ebon Blade,43406,46686,27698
ROGUE,Saronite Chain Gang,42395,46648,19764
WARRIOR,Stonehill Defender,41243,46583,20306
DRUID,Dire Wolf Alpha,985,46515,22431
MAGE,Frozen Clone,42754,45945,21725
SHAMAN,Lightning Storm,629,45567,17094
WARRIOR,Whirlwind,636,45508,18337
DRUID,Kun the Forgotten King,40416,45107,26908
PALADIN,Grimscale Oracle,510,45056,23728
PRIEST,Greater Diamond Spellstone,46306,44732,30950
MAGE,Dragoncaller Alanna,46499,44464,26695
