"games_played_with_card_in_deck","rank_category","card_name"
165046,"GrindTo15","Stonetusk Boar"
9264,"Rank10","Captain Greenskin"
306497,"GrindTo15","Jeweled Macaw"
43751,"other","The Caverns Below"
64232,"Rank15","Razorpetal Lasher"
87301,"GrindTo5","Armorsmith"
94150,"GrindTo5","Scavenging Hyena"
55122,"Rank10","Arcane Giant"
22853,"Legend","Frost Nova"
63333,"GrindTo10","Battle Rage"
29652,"Legend","Hydrologist"
197811,"GrindTo10","Wild Growth"
82686,"GrindToLegend","Equality"
138184,"Rank15","Unleash the Hounds"
4350,"Legend","Silence"
33247,"Rank15","Shaku, the Collector"
10604,"Rank15","Volcanosaur"
2769,"GrindTo15","Avenging Wrath"
938,"other","Primal Fusion"
2630,"Rank15","Kabal Trafficker"
95006,"Rank5","Consecration"
1544,"other","Totemic Might"
4542,"GrindTo10","Lightspawn"
1408,"Rank10","Hammer of Wrath"
753,"Rank10","Bloodfury Potion"
1621,"Rank15","Humility"
1579,"GrindTo5","Abomination"
5495,"Rank5","Malchezaar's Imp"
1509,"Rank15","Arcane Explosion"
1674,"Rank5","Swamp King Dred"
1850,"GrindTo15","Archmage"
5767,"GrindTo5","Razorpetal Volley"
4308,"GrindTo5","Evolved Kobold"
6136,"GrindToLegend","Tol'vir Warden"
2331,"Rank10","Ethereal Peddler"
804,"Rank10","Dark Iron Dwarf"
546,"GrindTo10","Bestial Wrath"
855,"GrindTo10","Holy Wrath"
694,"GrindTo5","Silvermoon Portal"
336,"Legend","Sprint"
130,"GrindTo5","Spawn of N'Zoth"
269,"GrindTo5","Void Terror"
6398,"GrindToLegend","Shadow Word: Horror"
1405,"GrindToLegend","Silverware Golem"
861,"GrindTo5","Sword of Justice"
682,"GrindToLegend","Stampede"
229,"Rank10","Power Word: Tentacles"
211,"Legend","Felfire Potion"
137,"Rank5","Murloc Raider"
620,"Rank10","Sudden Genesis"
418,"Legend","DOOM!"
61491,"Rank5","N'Zoth's First Mate"
125858,"Rank15","Priest of the Feast"
89836,"GrindTo15","Blazecaller"
128588,"Rank15","Murloc Warleader"
47402,"GrindToLegend","Netherspite Historian"
85088,"GrindToLegend","Bloodsail Raider"
11367,"other","Silverware Golem"
15270,"other","Tol'vir Warden"
104787,"GrindToLegend","Power Word: Shield"
393376,"GrindTo10","Alexstrasza"
33854,"other","Equality"
190034,"GrindTo5","Gluttonous Ooze"
18832,"Rank10","Humongous Razorleaf"
90505,"GrindToLegend","Leeroy Jenkins"
26446,"GrindTo15","Call of the Wild"
6604,"GrindTo10","Dinosize"
8504,"Rank15","Freezing Trap"
25079,"Legend","Fandral Staghelm"
5357,"GrindToLegend","Molten Giant"
168638,"GrindTo5","Hungry Crab"
13015,"GrindTo5","Mana Bind"
3130,"GrindTo15","Zoobot"
44464,"GrindTo5","Ivory Knight"
84152,"Rank5","Vicious Fledgling"
12596,"GrindToLegend","Infested Tauren"
11403,"GrindTo10","Naturalize"
771,"GrindTo10","Corrupted Healbot"
3477,"other","Stormwatcher"
274,"other","Validated Doomsayer"
13915,"Rank10","Fire Plume Phoenix"
25628,"Legend","Evolve"
2078,"Rank15","Hooded Acolyte"
2830,"other","Sacrificial Pact"
259,"GrindToLegend","Worgen Infiltrator"
1427,"GrindTo5","Frozen Crusher"
663,"GrindTo10","Finders Keepers"
1450,"Rank10","Terrorscale Stalker"
522,"Rank10","Twilight Flamecaller"
2379,"Legend","Y'Shaarj, Rage Unbound"
1018,"GrindTo10","Kooky Chemist"
171,"GrindTo5","Gruul"
137,"Rank10","The Beast"
555,"GrindToLegend","Grimestreet Enforcer"
103,"Rank5","Cryomancer"
159,"GrindTo15","Millhouse Manastorm"
259,"GrindTo5","Getaway Kodo"
351,"Rank5","Mark of Nature"
218,"Legend","Adaptation"
288,"Legend","Reckless Rocketeer"
172,"Rank10","Usher of Souls"
150,"GrindTo5","Biteweed"
439489,"GrindTo15","Primordial Glyph"
24724,"Legend","Bloodsail Raider"
160046,"Rank15","Flametongue Totem"
298263,"GrindTo10","Primalfin Totem"
157914,"GrindTo10","Hex"
51721,"Rank10","Alley Armorsmith"
367234,"GrindTo10","Acolyte of Pain"
37358,"GrindToLegend","Houndmaster"
581156,"GrindTo10","Fireball"
201707,"GrindTo10","Nourish"
93336,"GrindTo10","Shield Block"
86571,"Rank15","Vilefin Inquisitor"
72134,"Rank5","Vilefin Inquisitor"
171224,"GrindTo5","Shadow Word: Pain"
27274,"Legend","Power Word: Shield"
122059,"GrindTo5","Ragnaros, Lightlord"
99455,"GrindTo5","Kill Command"
61709,"GrindTo5","Lightning Storm"
41960,"Rank15","Jinyu Waterspeaker"
66586,"Rank10","Savage Roar"
8829,"GrindTo15","Demonfire"
1243,"GrindTo10","Knuckles"
8779,"Legend","Netherspite Historian"
2976,"GrindTo15","Nerubian Prophet"
33487,"GrindToLegend","Kindly Grandmother"
40507,"GrindTo5","Jinyu Waterspeaker"
4832,"Legend","Volcano"
2652,"other","Rampage"
360,"Rank15","Ogre Magi"
8939,"GrindTo5","Reckless Rocketeer"
8935,"GrindTo10","Feral Spirit"
11221,"GrindTo5","Y'Shaarj, Rage Unbound"
4573,"Rank5","Evolved Kobold"
1764,"Rank15","Selfless Hero"
378,"Rank5","Sword of Justice"
2978,"GrindTo10","Multi-Shot"
513,"GrindTo15","Squirming Tentacle"
2025,"GrindTo10","Stegodon"
551,"GrindTo15","Dragonling Mechanic"
1175,"GrindToLegend","Obsidian Shard"
403,"GrindTo10","Redemption"
281,"Rank5","Celestial Dreamer"
161,"Rank5","Mad Bomber"
128,"GrindToLegend","Cruel Dinomancer"
359,"Legend","Tar Lurker"
1276,"Legend","Primalfin Lookout"
2132,"Legend","Molten Giant"
742,"Rank10","Holy Wrath"
191,"GrindToLegend","Divine Strength"
10999,"other","Grimestreet Enforcer"
100390,"Rank15","Jade Blossom"
87137,"Rank15","Arcane Giant"
91625,"Rank15","Enchanted Raven"
174662,"Rank15","Radiant Elemental"
121758,"Rank10","Flamestrike"
6260,"Rank15","Stampede"
396138,"GrindTo10","Innervate"
196381,"Rank10","Primordial Glyph"
81945,"GrindTo5","Arcane Giant"
97857,"Rank5","Lyra the Sunshard"
10189,"other","Onyx Bishop"
100140,"GrindTo10","Free From Amber"
65071,"Legend","Primordial Drake"
19474,"GrindToLegend","Volcano"
14791,"Rank5","Cabal Shadow Priest"
1688,"other","Demented Frostcaller"
1771,"Rank10","Demonfire"
1733,"GrindTo15","Holy Wrath"
5222,"GrindTo5","Siphon Soul"
200,"GrindTo15","Backroom Bouncer"
2042,"other","Raging Worgen"
3249,"Rank15","Corruption"
1587,"GrindTo5","Ancient Shieldbearer"
5980,"GrindTo5","Disciple of C'Thun"
6041,"GrindTo5","Cruel Taskmaster"
3623,"Rank5","Bog Creeper"
4658,"GrindTo5","Darkshire Councilman"
5772,"GrindToLegend","Eggnapper"
873,"Rank10","Corrupted Seer"
1379,"Rank10","Cult Apothecary"
1076,"Rank15","Midnight Drake"
