"games_played_with_card_in_deck","rank_category","card_name"
10486,"Rank10","Darkshire Councilman"
5859,"Rank10","Lost in the Jungle"
3710,"GrindTo5","Lakkari Felhound"
1427,"GrindTo15","Flesheating Ghoul"
1245,"Rank15","Biteweed"
6739,"GrindTo5","Naturalize"
191,"Rank10","Illidan Stormrage"
419,"Rank15","Gruul"
2149,"GrindTo5","Moroes"
625,"Rank15","Cyclopian Horror"
4182,"Rank5","Vinecleaver"
360,"Rank10","Stormcrack"
454,"Legend","Blood Warriors"
505,"GrindToLegend","Giant Wasp"
620,"GrindTo5","Kooky Chemist"
333,"Rank5","Big-Time Racketeer"
120,"Rank5","Felguard"
261,"Rank5","Grimestreet Pawnbroker"
118,"Legend","Crystalweaver"
252536,"GrindTo5","N'Zoth's First Mate"
633441,"GrindTo15","Ice Block"
366238,"Rank10","Medivh's Valet"
367551,"GrindTo15","Igneous Elemental"
166706,"GrindToLegend","Upgrade!"
327735,"GrindTo15","Ravaging Ghoul"
68477,"Rank10","Finja, the Flying Star"
313639,"GrindTo15","Glacial Shard"
584045,"GrindTo10","Gadgetzan Auctioneer"
610613,"GrindTo15","Scavenging Hyena"
170475,"GrindToLegend","Frothing Berserker"
391600,"GrindTo10","Mark of Y'Shaarj"
238472,"GrindTo10","Divine Spirit"
107305,"GrindTo15","Kabal Songstealer"
75332,"Legend","Vanish"
431997,"GrindTo10","Aldor Peacekeeper"
122320,"Legend","Arcanologist"
93805,"GrindTo5","Holy Nova"
69097,"Rank5","Hex"
20136,"GrindToLegend","Purify"
9735,"Rank15","Evolving Spores"
32238,"Rank15","Kazakus"
33096,"Legend","Dire Wolf Alpha"
164209,"Rank10","Backstab"
14507,"GrindTo10","Hammer of Twilight"
10655,"GrindTo15","Silvermoon Portal"
35724,"other","Fire Plume Phoenix"
117155,"GrindToLegend","Coldlight Seer"
37937,"Legend","Vilefin Inquisitor"
129280,"GrindTo5","Inner Fire"
38982,"GrindTo10","Shifting Shade"
4575,"GrindTo10","Shadowform"
7492,"GrindTo5","Faceless Summoner"
7734,"other","Mountain Giant"
5203,"other","Twilight Flamecaller"
4940,"GrindTo15","Daring Reporter"
120924,"Rank5","Kor'kron Elite"
2632,"GrindTo15","Nightblade"
15719,"Rank10","Deathwing"
1037,"Rank15","Pterrordax Hatchling"
4690,"Rank15","Moonfire"
2189,"Rank15","Addled Grizzly"
597,"other","The Beast"
59775,"Legend","Flametongue Totem"
352,"Rank15","Priestess of Elune"
982,"Rank5","Thistle Tea"
664,"GrindTo5","Addled Grizzly"
1317,"Rank10","Arcane Shot"
1009,"Rank10","Servant of Yogg-Saron"
233,"Legend","I Know a Guy"
179,"GrindToLegend","Vaporize"
536,"GrindToLegend","Frost Elemental"
197,"Rank5","Imp Master"
373053,"GrindTo15","Wrath"
413529,"GrindTo10","Dragonfire Potion"
69804,"GrindTo10","Ethereal Arcanist"
5700,"GrindTo10","Corrupting Mist"
367284,"GrindTo15","Sorcerer's Apprentice"
42352,"other","Beckoner of Evil"
45728,"other","Timber Wolf"
170929,"Rank5","Wild Growth"
13404,"Rank5","Lay on Hands"
5559,"other","Friendly Bartender"
14913,"GrindTo15","Verdant Longneck"
22941,"Rank15","Ancient of War"
6995,"GrindTo5","Master of Evolution"
552,"other","Lotus Illusionist"
40243,"Legend","Gentle Megasaur"
5467,"GrindTo10","King Mosh"
2814,"GrindTo15","Mindgames"
8424,"other","Shaky Zipgunner"
6355,"GrindTo15","Kun the Forgotten King"
43797,"Rank5","Druid of the Claw"
11735,"Rank15","Razorpetal Volley"
3409,"Rank15","Cone of Cold"
14420,"GrindTo10","Stone Sentinel"
5821,"other","Earth Shock"
2061,"Rank15","Giant Mastodon"
