pcplays,region,archetype_id
0.000367057,5,157
0.000357804,1,251
0.000300546,2,251
0.000247809,2,259
0.000203334,5,259
0.000202831,1,235
0.000183808,3,251
0.000177157,3,142
0.000171639,2,235
0.000152983,1,142
0.000147879,5,258
0.000139377,3,235
0.000118831,5,235
0.00011355,5,251
0.000112351,3,258
0.000108691,2,142
8.45882E-05,1,79
6.54993E-05,1,183
0.000062182,2,239
6.13651E-05,2,183
5.89657E-05,2,79
5.32988E-05,2,25
5.30623E-05,3,183
4.72246E-05,1,239
4.67723E-05,1,25
4.35989E-05,2,218
0.000041706,1,222
3.96104E-05,5,150
3.80873E-05,1,218
3.11299E-05,3,25
3.08469E-05,3,79
2.90477E-05,5,239
2.58326E-05,2,222
2.42456E-05,1,126
2.37719E-05,3,239
2.37663E-05,5,79
2.25652E-05,2,126
2.11256E-05,5,183
2.11256E-05,5,144
1.99514E-05,3,222
1.87873E-05,2,243
1.84849E-05,5,218
1.74604E-05,1,150
1.74604E-05,1,211
1.60815E-05,2,211
1.50178E-05,1,244
1.49073E-05,2,15
0.000014294,1,144
1.39373E-05,2,244
1.38417E-05,1,243
1.34424E-05,3,218
1.32035E-05,5,222
1.21505E-05,2,150
0.000011886,3,144
1.11276E-05,1,15
1.05628E-05,5,25
1.03134E-05,1,217
9.9516E-06,1,9
0.000009751,2,144
8.7755E-06,1,236
0.00000849,3,15
8.4237E-06,2,217
7.9221E-06,5,243
7.9221E-06,5,244
7.4995E-06,3,9
6.3675E-06,3,150
5.9709E-06,1,245
5.9221E-06,2,141
5.2814E-06,5,15
0.000005094,3,243
0.000005094,3,217
4.9525E-06,3,126
4.9521E-06,2,245
4.7989E-06,2,236
4.6458E-06,2,9
0.000004528,3,245
4.2884E-06,2,22
0.000004245,3,236
4.1616E-06,1,62
4.0711E-06,1,229
3.5283E-06,1,171
3.5283E-06,1,22
3.3473E-06,1,240
3.3184E-06,2,229
3.2569E-06,1,230
2.7058E-06,2,240
2.6407E-06,5,9
2.4055E-06,3,22
2.2974E-06,2,62
2.1712E-06,1,31
2.1225E-06,3,141
2.1225E-06,3,244
1.9903E-06,1,210
1.8998E-06,1,242
1.8998E-06,1,34
1.8395E-06,3,229
0.000001698,3,234
1.5565E-06,3,211
1.4475E-06,1,232
1.3784E-06,2,178
1.3274E-06,2,210
1.2666E-06,1,233
1.1761E-06,1,141
0.000001132,3,240
0.000001132,3,242
0.000001132,3,246
1.1232E-06,2,171
9.189E-07,2,225
9.047E-07,1,156
8.679E-07,2,230
8.168E-07,2,233
7.237E-07,1,178
7.147E-07,2,31
7.075E-07,3,200
7.075E-07,3,210
7.075E-07,3,178
7.075E-07,3,62
6.637E-07,2,131
0.000000566,3,27
5.616E-07,2,170
4.595E-07,2,55
