"player_class","card_name","times_played","wins"
"WARRIOR","Dagger Mastery",11073,4022
"WARRIOR","Sleep with the Fishes",10962,4933
"PRIEST","Circle of Healing",10852,4636
"HUNTER","Cloaked Huntress",10848,5139
"MAGE","Vaporize",10814,5295
"WARRIOR","Map to the Golden Monkey",10812,4714
"DRUID","Emperor Thaurissan",10744,5960
"DRUID","Druid of the Saber",10694,4940
"DRUID","Coldlight Oracle",10662,5511
"PRIEST","Wild Pyromancer",10586,3930
"WARLOCK","Knife Juggler",10522,4668
"SHAMAN","Lesser Heal",10480,3830
"PRIEST","Mind Control Tech",10470,4896
"PALADIN","Keeper of Uldaman",10461,4713
"SHAMAN","Loot Hoarder",10156,5249
"ROGUE","Brann Bronzebeard",10094,5053
"HUNTER","Alleycat",9968,4334
"HUNTER","Cat Trick",9940,4855
"PRIEST","Alexstrasza",9736,5494
"WARRIOR","Deathwing",9736,3636
"DRUID","Yogg-Saron, Hope's End",9704,3967
"HUNTER","Tracking",9697,4094
"WARRIOR","Reinforce",9600,3194
"SHAMAN","Rockbiter Weapon",9585,4980
"HUNTER","Fiery Bat",9572,3956
"HUNTER","Infested Wolf",9469,4282
"MAGE","Effigy",9437,5186
"PRIEST","Greater Healing Potion",9279,4109
"WARLOCK","Blood Imp",9272,4605
"PRIEST","Shadowform",9218,5197
"ROGUE","Emperor Thaurissan",9144,5039
"MAGE","Kazakus Potion",9093,4163
"PRIEST","Second-Rate Bruiser",9031,4196
"DRUID","Savage Roar",9000,5792
"DRUID","Lunar Visions",8926,4561
"PRIEST","Mistress of Mixtures",8913,4156
"PRIEST","Heal",8832,5475
"PALADIN","Acidic Swamp Ooze",8763,3808
"SHAMAN","Dagger Mastery",8714,3020
"HUNTER","Secretkeeper",8618,4103
"SHAMAN","Mistress of Mixtures",8612,4364
"MAGE","Spellbender",8601,4851
"DRUID","Malygos",8481,6318
"PRIEST","Ysera Awakens",8448,6183
"WARRIOR","Armorsmith",8433,3507
"MAGE","Dragon's Breath",8421,4450
"PRIEST","Pint-Size Potion",8399,3714
"PRIEST","Justicar Trueheart",8398,4606
"PALADIN","Argent Squire",8388,3366
"MAGE","Twilight Flamecaller",8377,3930
"MAGE","Polymorph: Boar",8350,4351
"PALADIN","Second-Rate Bruiser",8278,3185
"MAGE","Barnes",8277,3937
"WARRIOR","Bluegill Warrior",8223,3918
"MAGE","Earthen Ring Farseer",8112,3979
"WARRIOR","Whirlwind",8110,3376
"ROGUE","Mistress of Mixtures",8072,3378
"HUNTER","Tundra Rhino",7983,3730
"SHAMAN","Argent Horserider",7977,3841
"DRUID","C'Thun",7969,5794
"PRIEST","Dream",7804,4997
"HUNTER","Deadly Shot",7714,3117
"WARRIOR","Grimy Gadgeteer",7709,3255
"DRUID","C'Thun's Chosen",7668,3865
"WARRIOR","Grimestreet Informant",7605,3309
"PRIEST","Laughing Sister",7571,4805
"ROGUE","Loot Hoarder",7542,3354
"SHAMAN","Reinforce",7476,2140
"WARLOCK","Bloodsail Corsair",7469,3834
"PRIEST","Silence",7436,3505
"PRIEST","Drakonid Crusher",7414,4301
"SHAMAN","Earth Shock",7406,3419
"HUNTER","Azure Drake",7395,3448
"PRIEST","Emerald Drake",7322,4894
"PRIEST","Chromaggus",7300,3834
"HUNTER","Rat Pack",7293,3267
"MAGE","Greater Arcane Missiles",7273,3860
