predator_class,predator_name,num_patches_killed
WARLOCK,Kazakus Potion,469
DRUID,Enchanted Raven,467
SHAMAN,Argent Horserider,458
PRIEST,Reno Jackson,451
PRIEST,Raza the Chained,449
PALADIN,"Finja, the Flying Star",444
HUNTER,Kill Command,442
SHAMAN,Flametongue Totem,436
PRIEST,Anduin Wrynn,429
HUNTER,Snipe,420
ROGUE,Elemental Destruction,413
ROGUE,Forked Lightning,402
WARLOCK,Knife Juggler,400
PALADIN,Second-Rate Bruiser,397
SHAMAN,Bluegill Warrior,395
ROGUE,Firebloom Toxin,392
MAGE,Burgly Bully,392
SHAMAN,Tentacle of N'Zoth,390
PRIEST,Disciple of C'Thun,387
WARRIOR,Drakonid Crusher,387
WARRIOR,Bloodhoof Brave,385
PALADIN,Acolyte of Pain,376
WARLOCK,Possessed Villager,373
WARRIOR,Acolyte of Pain,371
SHAMAN,Acidic Swamp Ooze,370
PALADIN,Mistress of Mixtures,369
ROGUE,Jade Golem,368
WARRIOR,Cleave,368
WARLOCK,Spellbreaker,367
HUNTER,Cloaked Huntress,366
WARRIOR,Ragnaros the Firelord,361
WARRIOR,Elise Starseeker,357
PRIEST,Deathwing,357
WARLOCK,Malchezaar's Imp,356
WARRIOR,Whirlwind,355
DRUID,Acidic Swamp Ooze,350
SHAMAN,Mistress of Mixtures,350
WARRIOR,Slime,348
ROGUE,Unearthed Raptor,347
ROGUE,Jade Swarmer,345
PRIEST,Spirit Wolf,344
MAGE,Greater Arcane Missiles,338
SHAMAN,Bloodmage Thalnos,336
PRIEST,Second-Rate Bruiser,334
WARLOCK,Ragnaros the Firelord,334
PRIEST,Lesser Heal,332
DRUID,Mire Keeper,332
HUNTER,Explosive Shot,331
WARLOCK,Deathwing,330
PALADIN,Tirion Fordring,328
WARLOCK,Sylvanas Windrunner,328
MAGE,Alexstrasza,323
SHAMAN,Stonetusk Boar,321
SHAMAN,Earth Shock,314
ROGUE,"Finja, the Flying Star",314
DRUID,Sabertooth Lion,313
WARRIOR,Naga Corsair,312
WARLOCK,Doomguard,307
MAGE,Cone of Cold,304
WARLOCK,Drain Life,297
DRUID,Jade Golem,297
PRIEST,Tunnel Trogg,293
HUNTER,Big Bad Wolf,292
MAGE,Deathwing,285
WARRIOR,Blood To Ichor,283
ROGUE,Jade Spirit,282
SHAMAN,Injured Kvaldir,282
DRUID,Wild Pyromancer,281
PALADIN,Barnes,280
PALADIN,Ivory Knight,275
DRUID,Druid of the Claw,274
ROGUE,Lava Shock,273
PRIEST,Kabal Songstealer,273
PRIEST,Lightning Bolt,272
SHAMAN,Mana Tide Totem,271
MAGE,Cult Sorcerer,269
PALADIN,Dirty Rat,268
SHAMAN,Jade Golem,266
WARLOCK,Shadowbeast,265
DRUID,Sabertooth Panther,263
PRIEST,Ancient Watcher,263
ROGUE,Barnes,263
HUNTER,Kindly Grandmother,260
HUNTER,Tundra Rhino,260
WARLOCK,Bane of Doom,260
PALADIN,Hammer of Wrath,259
MAGE,Loot Hoarder,258
MAGE,Archmage Antonidas,257
ROGUE,Cleave,254
PRIEST,Ysera Awakens,254
PRIEST,Mistress of Mixtures,252
SHAMAN,Whelp,248
HUNTER,Huffer,247
DRUID,Whelp,243
SHAMAN,White Eyes,242
WARLOCK,Darkshire Councilman,235
PRIEST,Jade Golem,233
WARRIOR,Justicar Trueheart,233
PALADIN,Blackwing Corruptor,231
HUNTER,Leokk,227
SHAMAN,Argent Squire,227
PALADIN,Argent Squire,223
SHAMAN,Worgen Infiltrator,221
MAGE,Ethereal Conjurer,216
HUNTER,Ironfur Grizzly,215
SHAMAN,Stormcrack,214
PALADIN,Loot Hoarder,208
PRIEST,Faerie Dragon,204
DRUID,Deathwing,202
DRUID,Ragnaros the Firelord,199
DRUID,Bluegill Warrior,198
HUNTER,Misha,198
WARRIOR,"Finja, the Flying Star",197
MAGE,Demonwrath,196
PRIEST,Kazakus Potion,195
ROGUE,Murloc Warleader,194
MAGE,Holy Nova,193
HUNTER,Rat Pack,192
PALADIN,Grimestreet Outfitter,192
MAGE,Ragnaros the Firelord,188
ROGUE,Jade Golem,187
MAGE,Bloodmage Thalnos,187
ROGUE,Perdition's Blade,186
WARLOCK,Kabal Demon,185
WARLOCK,Patches the Pirate,184
PRIEST,SI:7 Agent,184
PRIEST,Ragnaros the Firelord,183
ROGUE,Disciple of C'Thun,183
PRIEST,Mind Control Tech,182
DRUID,Sir Finley Mrrgglton,178
HUNTER,Secretkeeper,176
PALADIN,Sen'jin Shieldmasta,176
SHAMAN,Enchanted Raven,176
HUNTER,King's Elekk,171
MAGE,Disciple of C'Thun,171
MAGE,Acolyte of Pain,170
ROGUE,Maelstrom Portal,170
SHAMAN,Forked Lightning,170
WARRIOR,Hobart Grapplehammer,170
PRIEST,Argent Horserider,169
WARLOCK,Silverware Golem,169
SHAMAN,Fiery Bat,168
SHAMAN,Barnes,168
SHAMAN,Vilefin Inquisitor,167
PALADIN,"Ragnaros, Lightlord",166
PALADIN,Acidic Swamp Ooze,166
DRUID,Dragon Egg,166
MAGE,Hellfire,164
ROGUE,Lightning Bolt,163
MAGE,Roaring Torch,161
ROGUE,"Xaril, Poisoned Mind",161
PALADIN,Meanstreet Marshal,159
ROGUE,Revenge,157
ROGUE,Mistress of Mixtures,156
MAGE,Barnes,155
DRUID,Beckoner of Evil,154
PRIEST,Bluegill Warrior,154
PRIEST,Fan of Knives,153
DRUID,Slime,152
WARLOCK,Icky Tentacle,152
PRIEST,Whelp,151
MAGE,Earthen Ring Farseer,150
WARLOCK,Dire Wolf Alpha,150
HUNTER,Houndmaster,148
SHAMAN,Mana Wyrm,148
MAGE,Kabal Demon,147
ROGUE,Ravaging Ghoul,147
PALADIN,Patches the Pirate,147
SHAMAN,Al'Akir the Windlord,147
WARLOCK,Argent Horserider,146
WARLOCK,C'Thun,145
PALADIN,Twilight Guardian,144
PRIEST,Sunfury Protector,144
MAGE,Inkmaster Solia,144
WARRIOR,Murloc Warleader,143
WARLOCK,Beckoner of Evil,141
WARLOCK,Blackwing Corruptor,139
DRUID,Panther,139
HUNTER,Argent Horserider,139
MAGE,Dragonfire Potion,139
DRUID,Emperor Thaurissan,138
ROGUE,Naga Corsair,138
MAGE,Whelp,137
HUNTER,Huge Toad,137
ROGUE,Jade Golem,137
SHAMAN,Malchezaar's Imp,137
PRIEST,Shifting Shade,135
SHAMAN,Ragnaros the Firelord,135
SHAMAN,Murloc Tidecaller,134
HUNTER,Fiery Bat,133
DRUID,Argent Squire,133
WARRIOR,Baron Geddon,133
SHAMAN,Voidwalker,133
PRIEST,Volcanic Potion,133
DRUID,Violet Teacher,132
HUNTER,Infested Wolf,132
HUNTER,Alleycat,132
SHAMAN,Earth Elemental,132
PRIEST,Acolyte of Pain,131
PRIEST,Injured Blademaster,131
WARLOCK,Argent Squire,131
WARLOCK,Darkshire Librarian,130
DRUID,Patches the Pirate,130
MAGE,Excavated Evil,130
PALADIN,Worgen Infiltrator,129
WARRIOR,Deathwing,129
WARRIOR,C'Thun,129
HUNTER,Shaky Zipgunner,128
PALADIN,Disciple of C'Thun,128
PALADIN,Grimestreet Enforcer,127
PALADIN,Avenging Wrath,127
HUNTER,Barnes,126
PRIEST,Tyrande Whisperwind,126
MAGE,"Medivh, the Guardian",125
SHAMAN,Northshire Cleric,124
PALADIN,Sir Finley Mrrgglton,124
SHAMAN,Kobold Geomancer,124
WARLOCK,Spreading Madness,123
MAGE,Felfire Potion,123
