player_class,card_name,times_played,wins,win_pc
MAGE,Book Wyrm,1595,869,0.5448275862
DRUID,Crazed Worshipper,1590,633,0.3981132075
ROGUE,Master of Evolution,1585,762,0.4807570978
WARRIOR,Second-Rate Bruiser,1581,565,35.74%
MAGE,Prince Malchezaar,1579,799,0.5060164661
SHAMAN,Twilight Drake,1578,755,0.4784537389
ROGUE,Deadly Fork,1578,694,0.4397972117
ROGUE,Hex,1577,670,0.424857324
WARRIOR,Dream,1576,908,57.61%
SHAMAN,Lightning Jolt,1567,818,0.5220165922
ROGUE,Ancestral Spirit,1560,725,0.4647435897
ROGUE,Hammer of Twilight,1556,795,0.5109254499
MAGE,Disciple of C'Thun,1555,643,0.4135048232
SHAMAN,Blackwing Corruptor,1551,708,0.4564796905
HUNTER,Bluegill Warrior,1551,645,0.415860735
PRIEST,Tirion Fordring,1550,944,0.6090322581
ROGUE,Bloodsail Raider,1550,607,0.3916129032
ROGUE,Windspeaker,1542,927,0.6011673152
PRIEST,Power Overwhelming,1540,967,0.6279220779
ROGUE,Lotus Assassin,1540,747,0.4850649351
SHAMAN,Blowgill Sniper,1539,591,0.3840155945
PALADIN,Coldlight Oracle,1534,492,0.3207301173
PRIEST,Volcanic Potion,1530,682,0.445751634
DRUID,Burgly Bully,1530,802,0.5241830065
PRIEST,Hozen Healer,1529,755,0.4937867888
SHAMAN,Weasel Tunneler,1528,646,0.4227748691
ROGUE,Healing Wave,1526,577,0.378112713
MAGE,Greater Healing Potion,1519,749,0.4930875576
PRIEST,Nourish,1514,679,0.4484808454
MAGE,Potion of Madness,1514,729,0.4815059445
WARRIOR,Laughing Sister,1514,830,54.82%
PRIEST,Kodorider,1513,922,0.6093853272
MAGE,Fireblast Rank 2,1511,933,0.6174718729
HUNTER,Flare,1508,532,0.3527851459
PRIEST,Golden Monkey,1508,849,0.5629973475
PRIEST,Mortal Coil,1507,692,0.4591904446
ROGUE,Hallazeal the Ascended,1505,707,0.4697674419
WARRIOR,Doomcaller,1504,731,48.60%
PRIEST,Blizzard,1500,639,0.426
ROGUE,Grimestreet Informant,1499,724,0.4829886591
HUNTER,Acolyte of Pain,1499,533,0.3555703803
ROGUE,Thistle Tea,1493,568,0.380442063
ROGUE,Kazakus,1484,583,0.3928571429
PRIEST,Earthen Ring Farseer,1481,650,0.4388926401
HUNTER,Bloodmage Thalnos,1481,567,0.3828494261
PRIEST,Coldlight Oracle,1479,583,0.3941852603
PRIEST,Druid of the Claw,1477,769,0.5206499661
MAGE,Map to the Golden Monkey,1473,714,0.4847250509
PRIEST,Water Elemental,1464,851,0.581284153
PALADIN,Ysera,1462,840,0.5745554036
PRIEST,Felfire Potion,1460,759,0.5198630137
ROGUE,Al'Akir the Windlord,1455,852,0.5855670103
ROGUE,Call in the Finishers,1451,629,0.433494142
WARRIOR,Nefarian,1450,693,47.79%
HUNTER,Cult Master,1450,607,0.4186206897
HUNTER,Life Tap,1448,721,0.4979281768
MAGE,Twilight Elder,1446,627,0.4336099585
WARLOCK,Cursed!,1439,685,0.4760250174
ROGUE,Undercity Valiant,1435,687,0.4787456446
