"player_class","card_name","times_played","wins"
"ROGUE","Jade Swarmer",28114,13678
"DRUID","Moonfire",27659,15973
"WARRIOR","Bash",27570,12543
"MAGE","Kabal Courier",27239,12888
"ROGUE","Undercity Huckster",27094,12097
"PALADIN","Bluegill Warrior",26902,13269
"WARRIOR","Azure Drake",26597,11994
"WARLOCK","Kazakus Potion",26456,15573
"MAGE","Polymorph",25956,11991
"MAGE","Loot Hoarder",25776,12467
"WARRIOR","Shapeshift",25461,10667
"WARLOCK","Shadowflame",25246,14319
"SHAMAN","Bloodlust",25198,20511
"PALADIN","Consecration",25000,12238
"PALADIN","Murloc Warleader",24782,12885
"PRIEST","Defender of Argus",24551,13848
"PALADIN","Doomsayer",24459,11563
"WARLOCK","Sunfury Protector",24441,13006
"PALADIN","Acolyte of Pain",24419,11913
"WARLOCK","Sylvanas Windrunner",24301,13760
"MAGE","Fireblast",23927,11435
"ROGUE","Shadowstep",23487,12035
"WARLOCK","Twisting Nether",23212,11356
"WARLOCK","Faceless Shambler",23114,14354
"WARRIOR","Execute",23006,9488
"ROGUE","Patches the Pirate",22698,9126
"PALADIN","Equality",22530,11033
"WARRIOR","Drakonid Crusher",22370,12280
"MAGE","Acidic Swamp Ooze",22215,10874
"PALADIN","The Coin",22020,9712
"ROGUE","Sinister Strike",21968,14764
"PRIEST","Acidic Swamp Ooze",21808,10651
"MAGE","Reno Jackson",21740,12186
"HUNTER","Animal Companion",21365,9450
"MAGE","Dirty Rat",21325,10370
"PRIEST","Twilight Drake",21119,11250
"PRIEST","Blackwing Technician",21093,10803
"ROGUE","Finja, the Flying Star",20961,12768
"WARLOCK","Kabal Courier",20864,10148
"ROGUE","Argent Squire",20816,10436
"DRUID","Mire Keeper",20784,11165
"ROGUE","Barnes",20645,10388
"MAGE","Brann Bronzebeard",20574,11311
"WARRIOR","Faerie Dragon",20505,9499
"MAGE","Ice Lance",20257,11488
"WARRIOR","Shield Block",20092,8847
"WARLOCK","Darkshire Librarian",20079,9562
"MAGE","Archmage Antonidas",20044,11864
"WARRIOR","Alley Armorsmith",19952,9214
"PALADIN","Solemn Vigil",19951,10491
"WARLOCK","Lord Jaraxxus",19852,13083
"MAGE","Cult Sorcerer",19656,9449
"ROGUE","Unearthed Raptor",19560,9835
"SHAMAN","Small-Time Buccaneer",19368,8899
"MAGE","Cabalist's Tome",19020,8983
"MAGE","Roaring Torch",18792,10768
"WARLOCK","Abusive Sergeant",18788,9313
"MAGE","Alexstrasza",18650,11609
"PALADIN","Wild Pyromancer",18502,8563
"PALADIN","Grimestreet Outfitter",18474,7949
"PALADIN","Ivory Knight",18350,9048
"MAGE","Ice Barrier",18345,8624
"ROGUE","Jade Spirit",18175,8885
"WARRIOR","Shield Slam",17960,8073
"SHAMAN","Southsea Deckhand",17937,8725
"HUNTER","Kindly Grandmother",17515,7778
"MAGE","Novice Engineer",17413,8359
"WARLOCK","Mind Control Tech",17337,9344
"WARLOCK","Kazakus Potion",17266,10627
"PALADIN","Smuggler's Run",17115,7348
"DRUID","Naturalize",17077,7695
"MAGE","Forbidden Flame",16857,7942
"WARLOCK","Ragnaros the Firelord",16830,10380
"ROGUE","Naga Corsair",16803,8713
"SHAMAN","Healing Wave",16539,7586
"PRIEST","Entomb",16459,7544
"WARLOCK","Leeroy Jenkins",16072,12966
"HUNTER","Quick Shot",16040,6851
"HUNTER","Eaglehorn Bow",15869,7122
"PRIEST","Mind Spike",15600,8931
"DRUID","Dark Arakkoa",15541,8307
"HUNTER","Kill Command",15427,7429
"ROGUE","Journey Below",15325,6716
"WARRIOR","Acidic Swamp Ooze",15295,7049
"HUNTER","The Coin",14999,6291
"WARRIOR","Brawl",14987,5330
"WARRIOR","Acolyte of Pain",14981,6691
"WARLOCK","Faceless Manipulator",14978,10622
"DRUID","Doomsayer",14963,6865
"PRIEST","Kazakus",14624,7736
"WARRIOR","Bluegill Warrior",14623,7210
"DRUID","Kun the Forgotten King",14459,10805
"MAGE","Kazakus Potion",14263,8675
"PALADIN","Tirion Fordring",14210,7564
"WARRIOR","Dirty Rat",14049,6292
"ROGUE","Aya Blackpaw",14022,7972
"WARLOCK","Bloodsail Corsair",13900,6924
"WARLOCK","Argent Squire",13678,6341
"MAGE","Mirror Entity",13476,6453
"HUNTER","Savannah Highmane",13457,6360
"DRUID","Aviana",13444,10028
"PRIEST","Kabal Courier",13309,6216
"MAGE","Ethereal Conjurer",13296,6091
"DRUID","Enchanted Raven",13237,6233
"ROGUE","Xaril, Poisoned Mind",13237,6050
"WARRIOR","Revenge",13208,5858
"PALADIN","Anyfin Can Happen",13168,9517
"ROGUE","Emperor Thaurissan",13120,7221
"DRUID","Yogg-Saron, Hope's End",12993,5122
"DRUID","Power of the Wild",12832,6556
"WARRIOR","Murloc Warleader",12830,6537
"SHAMAN","Evolve",12812,6649
"SHAMAN","White Eyes",12748,6226
"DRUID","Emperor Thaurissan",12689,7265
"PALADIN","Loot Hoarder",12674,5887
"DRUID","Arcane Giant",12654,7180
"MAGE","Counterspell",12614,6410
"WARRIOR","Ragnaros the Firelord",12607,6275
"PRIEST","Ysera",12428,7324
"WARRIOR","Argent Horserider",12334,5982
"PRIEST","Excavated Evil",12277,5408
"MAGE","Refreshment Vendor",12248,5970
"WARRIOR","The Curator",12217,5806
"MAGE","Manic Soulcaster",12188,6484
"HUNTER","Houndmaster",12185,6051
"ROGUE","Beneath the Grounds",12182,5599
"PRIEST","Priest of the Feast",12042,5628
"ROGUE","Jungle Panther",11939,5894
"MAGE","Ragnaros the Firelord",11921,6234
"WARLOCK","Silverware Golem",11907,4063
"PALADIN","Finja, the Flying Star",11888,7068
"MAGE","Mistress of Mixtures",11816,5607
"DRUID","Mark of Y'Shaarj",11794,6017
"MAGE","Kazakus Potion",11729,6490
"PALADIN","Wickerflame Burnbristle",11708,5551
"SHAMAN","Sir Finley Mrrgglton",11587,5619
"PRIEST","Raza the Chained",11414,6239
"PRIEST","Doomsayer",11413,4521
"DRUID","Coldlight Oracle",11252,5702
"MAGE","Burgly Bully",11114,5963
"DRUID","Mark of the Lotus",11076,6342
"ROGUE","Buccaneer",11073,5508
"WARLOCK","Corruption",10954,4723
"WARRIOR","Bloodhoof Brave",10945,4617
"DRUID","Malygos",10943,8215
"WARLOCK","Crystalweaver",10838,5664
"HUNTER","Alleycat",10776,4791
"MAGE","Barnes",10545,5154
"WARRIOR","Blood To Ichor",10525,4962
"HUNTER","Unleash the Hounds",10500,4169
"SHAMAN","Lava Shock",10457,4889
"PALADIN","Grimestreet Enforcer",10413,4761
"WARRIOR","Grommash Hellscream",10394,5612
"SHAMAN","Argent Squire",10392,5154
"PALADIN","Barnes",10347,5252
"PRIEST","Museum Curator",10032,4667
"MAGE","Medivh's Valet",10008,4802
"PALADIN","Ragnaros, Lightlord",9704,5272
"MAGE","Kabal Lackey",9626,4381
"WARLOCK","Demonfire",9595,4539
"PRIEST","Kabal Songstealer",9545,4597
"DRUID","Druid of the Saber",9487,4528
"PRIEST","Ragnaros the Firelord",9376,5487
"WARRIOR","Justicar Trueheart",9271,4376
"ROGUE","The Curator",9217,4631
"DRUID","Moonglade Portal",9211,4174
"HUNTER","Explosive Trap",9134,3501
"ROGUE","Coldlight Oracle",8939,4446
"ROGUE","Deadly Poison",8912,4059
"MAGE","Kirin Tor Mage",8821,4213
"ROGUE","Malygos",8650,6320
"PALADIN","Argent Horserider",8608,3747
"PRIEST","Inner Fire",8594,4961
"DRUID","Disciple of C'Thun",8577,4304
"PALADIN","Forbidden Healing",8539,3813
"MAGE","Mind Control Tech",8531,4165
"DRUID","Acidic Swamp Ooze",8470,4025
"WARLOCK","Forbidden Ritual",8470,3313
"MAGE","Kabal Crystal Runner",8459,4115
"SHAMAN","Thunder Bluff Valiant",8441,4681
"HUNTER","Fiery Bat",8288,3512
"PALADIN","Mistress of Mixtures",8203,3548
"SHAMAN","Elemental Destruction",8194,3261
"WARRIOR","Finja, the Flying Star",8182,4537
"DRUID","Ragnaros the Firelord",8089,4606
"MAGE","Potion of Polymorph",8062,3765
"PRIEST","Heal",8047,4497
"SHAMAN","Bluegill Warrior",8035,3786
"PRIEST","Reno Jackson",8033,4254
"WARRIOR","Gorehowl",7964,3685
"WARLOCK","Spellbreaker",7892,4171
"HUNTER","Cloaked Huntress",7860,3711
"PALADIN","Keeper of Uldaman",7671,3532
"WARLOCK","Patches the Pirate",7634,3312
"PRIEST","Holy Smite",7565,3570
"PRIEST","Chillmaw",7556,3097
"DRUID","Lunar Visions",7551,3791
"SHAMAN","Ragnaros the Firelord",7549,4126
"SHAMAN","Acidic Swamp Ooze",7495,3566
"SHAMAN","Doomhammer",7484,4022
"HUNTER","Cat Trick",7463,3666
"ROGUE","Dark Iron Skulker",7421,3458
"WARRIOR","Netherspite Historian",7396,3467
"MAGE","Medivh, the Guardian",7359,4590
"HUNTER","King's Elekk",7283,3210
"SHAMAN","Doppelgangster",7258,3984
"HUNTER","Freezing Trap",7194,3110
"WARLOCK","Kazakus Potion",7157,3476
"HUNTER","Rat Pack",7111,3242
"ROGUE","Brann Bronzebeard",7104,3429
"WARRIOR","Elise Starseeker",7098,3033
"ROGUE","Mistress of Mixtures",7080,3041
"SHAMAN","Murloc Warleader",7037,3638
"WARLOCK","Flame Juggler",7015,3199
"DRUID","Savage Roar",6944,4536
"MAGE","Second-Rate Bruiser",6893,3352
"MAGE","Inkmaster Solia",6864,3724
"ROGUE","Defender of Argus",6793,3515
"SHAMAN","Rockbiter Weapon",6767,3684
"DRUID","Mark of the Wild",6724,3220
"WARLOCK","Felfire Potion",6700,3556
"MAGE","Ethereal Arcanist",6599,3077
"HUNTER","Tracking",6556,2793
"PRIEST","Thoughtsteal",6546,2818
"WARRIOR","Lesser Heal",6521,2468
"PRIEST","Sylvanas Windrunner",6508,3211
"HUNTER","Dispatch Kodo",6460,2832
"PRIEST","Shifting Shade",6449,3090
"WARLOCK","Bluegill Warrior",6258,2929
"WARRIOR","Totemic Call",6241,1984
"ROGUE","Shadow Sensei",6212,3398
"SHAMAN","Steady Shot",6151,2762
"SHAMAN","Patches the Pirate",6146,2346
"SHAMAN","Argent Horserider",6139,3017
"HUNTER","Infested Wolf",6066,2609
"HUNTER","Trogg Beastrager",6056,2632
"SHAMAN","Barnes",5921,2888
"PRIEST","Kazakus Potion",5894,3597
"ROGUE","Silent Knight",5872,3103
"PRIEST","Divine Spirit",5862,3334
"PRIEST","Dirty Rat",5806,2608
"PALADIN","Azure Drake",5783,2770
"SHAMAN","Ancestral Knowledge",5769,2582
"PALADIN","Argent Squire",5742,2433
"HUNTER","Steady Shot",5717,2437
"PRIEST","Kazakus Potion",5706,3026
"MAGE","Pyroblast",5690,4076
"DRUID","C'Thun",5666,4329
"MAGE","Flame Lance",5642,2723
"WARRIOR","Blackwing Technician",5599,2770
"HUNTER","Secretkeeper",5595,2599
"WARLOCK","Argent Horserider",5591,2536
"DRUID","Violet Teacher",5485,2728
"SHAMAN","Life Tap",5433,2451
"HUNTER","Tundra Rhino",5386,2518
"MAGE","Arcane Explosion",5368,2403
"WARLOCK","Murloc Warleader",5331,2570
"PALADIN","Acidic Swamp Ooze",5268,2294
"PRIEST","Acolyte of Pain",5264,2161
"DRUID","Barnes",5229,2777
"MAGE","Freezing Potion",5214,2391
"HUNTER","Barnes",5203,2429
"HUNTER","Shaky Zipgunner",5185,2172
"WARLOCK","Dark Iron Dwarf",5175,2620
"WARRIOR","Tank Up!",5158,2605
"HUNTER","Scavenging Hyena",5009,2330
"SHAMAN","Call in the Finishers",4997,2420
"WARRIOR","Dagger Mastery",4969,1791
"DRUID","Savage Combatant",4965,2359
"WARLOCK","Blood Imp",4919,2293
"ROGUE","N'Zoth, the Corruptor",4835,2933
"ROGUE","Burgle",4724,1848
"ROGUE","Loot Hoarder",4719,2083
"SHAMAN","Everyfin is Awesome",4685,2983
"WARRIOR","Reinforce",4683,1594
"SHAMAN","Far Sight",4681,2244
"PRIEST","Faerie Dragon",4681,2119
"DRUID","Sir Finley Mrrgglton",4672,2286
"PRIEST","Auchenai Soulpriest",4628,1834
"ROGUE","Shadowcaster",4567,2513
"SHAMAN","Fireblast",4547,1699
"PALADIN","Dirty Rat",4543,1887
"WARRIOR","Sylvanas Windrunner",4507,2023
"SHAMAN","Finja, the Flying Star",4485,2423
"PALADIN","Meanstreet Marshal",4481,1937
"PRIEST","Silence",4481,2177
"MAGE","Evolved Kobold",4474,3189
"PRIEST","Circle of Healing",4472,1944
"SHAMAN","Earth Elemental",4468,2110
"DRUID","Starfire",4457,2266
"WARRIOR","Cruel Taskmaster",4450,1963
"DRUID","The Curator",4438,2168
"DRUID","Mounted Raptor",4414,1971
"WARLOCK","Crazed Alchemist",4401,2037
"WARRIOR","Armorsmith",4391,1907
"PRIEST","Loot Hoarder",4356,1752
"PRIEST","Emperor Thaurissan",4350,2220
"SHAMAN","Fire Elemental",4328,2106
"SHAMAN","Al'Akir the Windlord",4322,2535
"ROGUE","Kingsblood Toxin",4321,1983
"SHAMAN","Stormcrack",4315,2010
"PALADIN","Second-Rate Bruiser",4309,1662
"PRIEST","Drakonid Crusher",4307,2591
"MAGE","Cone of Cold",4279,1756
"HUNTER","Deadly Shot",4250,1698
"MAGE","Faceless Summoner",4238,2069
"PRIEST","Nefarian",4220,2251
"SHAMAN","Mistress of Mixtures",4170,2108
"HUNTER","Snipe",4170,1831
"DRUID","Bluegill Warrior",4160,2008
"PRIEST","Wild Pyromancer",4082,1544
"WARRIOR","Sleep with the Fishes",4029,1798
"WARLOCK","Succubus",3987,1690
"ROGUE","Firebloom Toxin",3976,2011
"PRIEST","Cabal Shadow Priest",3945,2135
"HUNTER","Azure Drake",3883,1672
"DRUID","Starfall",3882,1620
"WARRIOR","Grimy Gadgeteer",3875,1585
"SHAMAN","Shapeshift",3815,1492
"WARLOCK","Bloodfury Potion",3801,1918
"SHAMAN","Loot Hoarder",3762,1906
"SHAMAN","Earth Shock",3735,1700
"WARRIOR","Deathwing",3713,1342
"PRIEST","Mistress of Mixtures",3713,1648
"PALADIN","Sen'jin Shieldmasta",3693,1444
"ROGUE","Sylvanas Windrunner",3662,1719
"SHAMAN","Ancestral Spirit",3658,1971
"DRUID","C'Thun's Chosen",3629,1847
"DRUID","Murloc Warleader",3608,1777
"ROGUE","Briarthorn Toxin",3580,1935
"MAGE","Effigy",3535,1818
"HUNTER","Hunter's Mark",3533,1383
"HUNTER","Bear Trap",3528,1430
"PALADIN","Sir Finley Mrrgglton",3525,1554
"HUNTER","Smuggler's Crate",3502,1407
"WARLOCK","Finja, the Flying Star",3496,1850
"PRIEST","Alexstrasza",3484,1895
"WARRIOR","Map to the Golden Monkey",3448,1450
"WARLOCK","Wrathguard",3427,1684
"SHAMAN","Sylvanas Windrunner",3419,1760
"HUNTER","Huge Toad",3411,1451
"ROGUE","Gang Up",3401,1544
"PRIEST","Shadowform",3386,1786
"WARLOCK","Tiny Knight of Evil",3383,1482
"DRUID","Loot Hoarder",3368,1456
"MAGE","Vaporize",3323,1413
"WARRIOR","Whirlwind",3322,1357
"WARLOCK","Lance Carrier",3313,1571
"PRIEST","Second-Rate Bruiser",3298,1464
"DRUID","Bite",3279,1510
"PRIEST","Pint-Size Potion",3239,1458
"PRIEST","Heal",3235,1923
"PALADIN","Divine Favor",3209,1395
"DRUID","Mark of Nature",3195,1682
"PRIEST","Greater Healing Potion",3188,1325
"DRUID","Dragon Egg",3186,1581
"SHAMAN","Doomsayer",3175,1391
"ROGUE","Stranglethorn Tiger",3150,1545
"PRIEST","Mass Dispel",3148,1360
"ROGUE","Fadeleaf Toxin",3143,1476
"ROGUE","Defias Ringleader",3137,1447
"ROGUE","Sprint",3128,1400
"HUNTER","Call of the Wild",3126,1616
"WARRIOR","Harrison Jones",3106,1484
"SHAMAN","Jeweled Scarab",3106,1428
"DRUID","Alexstrasza",3090,2173
"PRIEST","Mind Control Tech",3048,1417
"MAGE","Spellbender",3042,1593
"PALADIN","Humility",3036,1294
"DRUID","Claw",3027,1463
"DRUID","Argent Squire",3025,1394
"PALADIN","Netherspite Historian",3003,1303
"PRIEST","Swipe",2999,1604
"SHAMAN","Master of Evolution",2996,1529
"MAGE","Sylvanas Windrunner",2975,1587
"SHAMAN","The Storm Guardian",2969,1720
"ROGUE","Lotus Agents",2944,1246
"SHAMAN","Kobold Geomancer",2942,1278
"PRIEST","Chromaggus",2924,1527
"MAGE","Greater Arcane Missiles",2923,1456
"DRUID","Defender of Argus",2909,1489
"DRUID","Faerie Dragon",2898,1342
"PALADIN","Brann Bronzebeard",2895,1341
"DRUID","Harrison Jones",2891,1602
"PALADIN","Selfless Hero",2890,1216
"MAGE","Polymorph: Boar",2878,1380
"PALADIN","Defender of Argus",2868,1391
"PRIEST","Deathwing",2866,877
"DRUID","Healing Touch",2861,1262
"HUNTER","Ragnaros the Firelord",2857,1323
"ROGUE","Acidic Swamp Ooze",2854,1204
"PRIEST","Bloodmage Thalnos",2853,1360
"MAGE","Dragon's Breath",2848,1376
"WARRIOR","Hobart Grapplehammer",2836,1336
"ROGUE","Infested Tauren",2816,1202
"WARRIOR","Bloodsail Corsair",2811,1278
"ROGUE","Doomsayer",2802,984
"PRIEST","Ysera Awakens",2765,2031
"PALADIN","Twilight Guardian",2747,1184
"WARRIOR","Disciple of C'Thun",2746,1147
"HUNTER","Dire Wolf Alpha",2738,1247
"ROGUE","Vanish",2722,938
"ROGUE","Ethereal Peddler",2706,1290
"DRUID","Stranglethorn Tiger",2701,1212
"PALADIN","Hammer of Wrath",2695,1241
"HUNTER","Snake Trap",2684,1254
"PALADIN","Doppelgangster",2681,1290
"DRUID","Soul of the Forest",2669,1432
