game_date,game_type,dbf_id,card_name,card_included_in_games_qdklw,wins,win_rate,total_games_for_card
2017-08-14,2,43417,Malfurion the Pestilent,145541,82265,56.52,144631
2017-08-14,2,43419,Frost Lich Jaina,56695,27673,48.81,56618
2017-08-14,2,43423,Scourgelord Garrosh,23506,10321,43.9,23492
2017-08-15,2,41099,Jungle Giants,2500,1137,45.48,2499
2017-08-15,2,41168,Open the Waygate,43226,19755,45.7,43144
2017-08-15,2,41222,The Caverns Below,1098,505,45.99,1098
2017-08-15,2,41368,The Marsh Queen,1292,503,38.93,1292
2017-08-15,2,41427,Fire Plume's Heart,11624,5835,50.19,11624
2017-08-15,2,41494,Awaken the Makers,13882,6301,45.38,13872
2017-08-15,2,41499,Unite the Murlocs,1819,897,49.31,1819
2017-08-15,2,41856,Lakkari Sacrifice,2141,901,42.08,2141
2017-08-15,2,41868,The Last Kaleidosaur,672,247,36.75,672
2017-08-15,2,42987,"Thrall, Deathseer",58284,32074,55.03,58179
2017-08-15,2,43392,Valeera the Hollow,39224,18683,47.63,39189
2017-08-15,2,43398,Deathstalker Rexxar,53984,27650,51.21,53905
2017-08-15,2,43406,Uther of the Ebon Blade,40638,21297,52.4,40602
2017-08-15,2,43408,Shadowreaper Anduin,139797,73017,52.23,139094
2017-08-15,2,43415,Bloodreaver Gul'dan,86973,43941,50.52,86780
2017-08-15,2,43417,Malfurion the Pestilent,153902,86247,56.04,152943
2017-08-15,2,43419,Frost Lich Jaina,48237,23599,48.92,48163
2017-08-15,2,43423,Scourgelord Garrosh,19500,8598,44.09,19492
2017-08-16,2,41099,Jungle Giants,2647,1163,43.93,2646
2017-08-16,2,41168,Open the Waygate,41194,19002,46.12,41123
2017-08-16,2,41222,The Caverns Below,1194,511,42.79,1194
2017-08-16,2,41368,The Marsh Queen,975,359,36.82,975
2017-08-16,2,41427,Fire Plume's Heart,10802,5246,48.56,10799
2017-08-16,2,41494,Awaken the Makers,12018,5587,46.48,12006
2017-08-16,2,41499,Unite the Murlocs,1750,870,49.71,1750
2017-08-16,2,41856,Lakkari Sacrifice,1777,686,38.6,1777
2017-08-16,2,41868,The Last Kaleidosaur,727,280,38.51,727
2017-08-16,2,42987,"Thrall, Deathseer",54501,29964,54.97,54409
2017-08-16,2,43392,Valeera the Hollow,38515,18076,46.93,38480
2017-08-16,2,43398,Deathstalker Rexxar,46856,24133,51.5,46807
2017-08-16,2,43406,Uther of the Ebon Blade,35725,18617,52.11,35682
2017-08-16,2,43408,Shadowreaper Anduin,130814,68012,51.99,130199
2017-08-16,2,43415,Bloodreaver Gul'dan,76805,38466,50.08,76633
2017-08-16,2,43417,Malfurion the Pestilent,159923,89588,56.01,158804
2017-08-16,2,43419,Frost Lich Jaina,41764,20288,48.57,41712
2017-08-16,2,43423,Scourgelord Garrosh,18069,8085,44.74,18060
2017-08-17,2,41099,Jungle Giants,2102,953,45.33,2101
2017-08-17,2,41168,Open the Waygate,39003,17501,44.87,38944
2017-08-17,2,41222,The Caverns Below,1017,410,40.31,1017
2017-08-17,2,41368,The Marsh Queen,822,281,34.18,822
2017-08-17,2,41427,Fire Plume's Heart,8599,4155,48.31,8597
2017-08-17,2,41494,Awaken the Makers,8851,3911,44.18,8838
2017-08-17,2,41499,Unite the Murlocs,1308,667,50.99,1308
2017-08-17,2,41856,Lakkari Sacrifice,1355,522,38.52,1355
2017-08-17,2,41868,The Last Kaleidosaur,557,185,33.21,557
2017-08-17,2,42987,"Thrall, Deathseer",47977,26105,54.41,47901
2017-08-17,2,43392,Valeera the Hollow,34683,15820,45.61,34643
2017-08-17,2,43398,Deathstalker Rexxar,42540,22162,52.09,42492
2017-08-17,2,43406,Uther of the Ebon Blade,28422,14530,51.12,28390
2017-08-17,2,43408,Shadowreaper Anduin,110456,56968,51.57,109895
2017-08-17,2,43415,Bloodreaver Gul'dan,64792,32441,50.06,64566
2017-08-17,2,43417,Malfurion the Pestilent,148825,83319,55.98,147771
2017-08-17,2,43419,Frost Lich Jaina,33139,15919,48.03,33071
2017-08-17,2,43423,Scourgelord Garrosh,15042,6681,44.41,15034
