deck_games_qdklw,wins,game_date,game_type,f_card_name,dbf_id,total_games
1458,629,2017-12-07,2,The Last Kaleidosaur,41868,9753137
8717,5370,2017-12-07,2,Rhok'delar,43369,9753137
25978,10766,2017-12-08,2,Valeera the Hollow,43392,13790106
404,172,2017-12-08,30,Woecleaver,46077,1003286
195,84,2017-12-08,30,The Caverns Below,41222,1003286
1419,629,2017-12-10,2,The Caverns Below,41222,6006460
2115,834,2017-12-07,2,Lakkari Sacrifice,41856,9753137
67822,37690,2017-12-08,2,Shadowreaper Anduin,43408,13790106
4825,1814,2017-12-08,2,Lakkari Sacrifice,41856,13790106
213,92,2017-12-09,30,Jungle Giants,41099,1222740
906,471,2017-12-10,30,Malfurion the Pestilent,43417,436295
403,194,2017-12-07,2,Unite the Murlocs,41499,9753137
22102,11047,2017-12-07,2,Frost Lich Jaina,43419,9753137
18060,8610,2017-12-09,2,Scourgelord Garrosh,43423,16454921
27830,11562,2017-12-09,2,Valeera the Hollow,43392,16454921
650,259,2017-12-09,30,Open the Waygate,41168,1222740
895,489,2017-12-09,30,Uther of the Ebon Blade,43406,1222740
494,239,2017-12-09,30,Woecleaver,46077,1222740
214,115,2017-12-10,30,"Thrall, Deathseer",42987,436295
290,139,2017-12-10,30,Twig of the World Tree,46107,436295
569,230,2017-12-07,2,The Marsh Queen,41368,9753137
2098,1018,2017-12-07,30,Valeera the Hollow,43392,1113621
87371,48358,2017-12-09,2,Shadowreaper Anduin,43408,16454921
3146,1450,2017-12-09,30,Valeera the Hollow,43392,1222740
2716,1642,2017-12-09,30,Aluneth,43426,1222740
1266,472,2017-12-10,2,Lakkari Sacrifice,41856,6006460
20068,9022,2017-12-07,2,Open the Waygate,41168,9753137
1540,698,2017-12-07,2,Woecleaver,46077,9753137
2264,1279,2017-12-07,30,Deathstalker Rexxar,43398,1113621
327,166,2017-12-07,30,Fire Plume's Heart,41427,1113621
12788,6514,2017-12-08,2,"Thrall, Deathseer",42987,13790106
4470,2286,2017-12-09,30,Kingsbane,47035,1222740
39090,21014,2017-12-08,2,Malfurion the Pestilent,43417,13790106
3331,1586,2017-12-09,2,Fire Plume's Heart,41427,16454921
115559,62038,2017-12-09,2,Bloodreaver Gul'dan,43415,16454921
96263,54954,2017-12-09,2,Deathstalker Rexxar,43398,16454921
478,216,2017-12-09,30,Scourgelord Garrosh,43423,1222740
3380,1579,2017-12-10,2,Dragon Soul,45528,6006460
2070,1173,2017-12-10,30,Shadowreaper Anduin,43408,436295
128,54,2017-12-10,30,Lakkari Sacrifice,41856,436295
1081,487,2017-12-07,2,The Caverns Below,41222,9753137
15518,7691,2017-12-09,2,Woecleaver,46077,16454921
3640,1332,2017-12-09,2,Lakkari Sacrifice,41856,16454921
32010,17674,2017-12-10,2,Shadowreaper Anduin,43408,6006460
961,566,2017-12-10,30,Aluneth,43426,436295
959,505,2017-12-07,30,"Thrall, Deathseer",42987,1113621
101,44,2017-12-07,30,Twig of the World Tree,46107,1113621
770,407,2017-12-08,30,Uther of the Ebon Blade,43406,1003286
6256,3537,2017-12-09,30,Bloodreaver Gul'dan,43415,1222740
3168,1785,2017-12-09,30,Deathstalker Rexxar,43398,1222740
585,255,2017-12-09,30,Dragon Soul,45528,1222740
812,398,2017-12-09,30,Twig of the World Tree,46107,1222740
17087,8833,2017-12-10,2,Malfurion the Pestilent,43417,6006460
287,163,2017-12-07,30,Unite the Murlocs,41499,1113621
8043,3896,2017-12-08,2,Awaken the Makers,41494,13790106
1575,750,2017-12-08,2,Jungle Giants,41099,13790106
4037,2010,2017-12-08,30,Kingsbane,47035,1003286
436,191,2017-12-09,2,The Marsh Queen,41368,16454921
145,82,2017-12-09,30,Unite the Murlocs,41499,1222740
18193,8091,2017-12-10,2,Kingsbane,47035,6006460
9643,4249,2017-12-07,2,Kingsbane,47035,9753137
378,127,2017-12-08,2,The Marsh Queen,41368,13790106
1254,676,2017-12-08,30,Rhok'delar,43369,1003286
210,84,2017-12-08,30,The Last Kaleidosaur,41868,1003286
57387,25682,2017-12-09,2,Kingsbane,47035,16454921
146,57,2017-12-09,30,The Caverns Below,41222,1222740
575,327,2017-12-10,30,Skull of the Man'ari,46299,436295
700,338,2017-12-07,2,The Runespear,46305,9753137
602,282,2017-12-07,30,Scourgelord Garrosh,43423,1113621
283,133,2017-12-09,2,Unite the Murlocs,41499,16454921
24522,13904,2017-12-10,2,Rhok'delar,43369,6006460
1220,498,2017-12-10,2,The Last Kaleidosaur,41868,6006460
6438,3297,2017-12-07,2,Uther of the Ebon Blade,43406,9753137
63,28,2017-12-07,30,The Marsh Queen,41368,1113621
11253,5142,2017-12-09,2,Dragon Soul,45528,16454921
330,145,2017-12-09,30,Lakkari Sacrifice,41856,1222740
44691,23751,2017-12-10,2,Bloodreaver Gul'dan,43415,6006460
30585,17074,2017-12-10,2,Deathstalker Rexxar,43398,6006460
71,30,2017-12-07,30,The Caverns Below,41222,1113621
688,323,2017-12-07,30,Open the Waygate,41168,1113621
831,446,2017-12-07,30,Uther of the Ebon Blade,43406,1113621
13074,5991,2017-12-08,2,Scourgelord Garrosh,43423,13790106
1289,705,2017-12-08,30,Awaken the Makers,41494,1003286
30692,17156,2017-12-10,2,Aluneth,43426,6006460
2251,1258,2017-12-10,30,Bloodreaver Gul'dan,43415,436295
