games_won,games_played,went_first,card_played,player_class
37,61,TRUE,Tournament Attendee,PALADIN
23,37,TRUE,Tournament Attendee,SHAMAN
19,28,TRUE,Injured Kvaldir,MAGE
89,145,TRUE,Gadgetzan Jouster,ROGUE
40,70,TRUE,Gadgetzan Jouster,WARRIOR
6,10,TRUE,Murloc Tinyfin,PALADIN
10,19,TRUE,Runic Egg,WARLOCK
10,21,TRUE,Runic Egg,MAGE
5,10,TRUE,Potion of Polymorph,MAGE
20,27,TRUE,Counterfeit Coin,ROGUE
0,2,TRUE,Patches the Pirate,MAGE
0,1,TRUE,Weasel Tunneler,HUNTER
2,4,TRUE,Weasel Tunneler,DRUID
6,11,TRUE,Elven Archer,DRUID
2,4,TRUE,Eye for an Eye,PALADIN
7,11,TRUE,Southsea Deckhand,DRUID
1,5,TRUE,Shieldbearer,PRIEST
3,7,TRUE,Shieldbearer,PALADIN
9,12,TRUE,Bloodsail Corsair,ROGUE
6,12,TRUE,Young Priestess,DRUID
0,1,TRUE,The Coin,PRIEST
0,1,TRUE,Divine Strength,PALADIN
1,1,TRUE,Violet Illusionist,DRUID
3,4,TRUE,Weasel Tunneler,PALADIN
2,3,TRUE,Hired Gun,DRUID
2,5,TRUE,Murloc Tinyfin,SHAMAN
10033,19476,FALSE,NULL,PALADIN
8866,16644,FALSE,NULL,PRIEST
5492,9288,TRUE,NULL,ROGUE
6410,13321,FALSE,NULL,SHAMAN
9653,15513,TRUE,NULL,WARLOCK
14096,25889,FALSE,NULL,WARLOCK
2,2,TRUE,Hungry Crab,HUNTER
1,2,TRUE,Target Dummy,ROGUE
3,5,TRUE,Runic Egg,DRUID
3,5,TRUE,Weasel Tunneler,SHAMAN
1,4,TRUE,Secretkeeper,ROGUE
1,1,TRUE,Cold Blood,ROGUE
1,2,TRUE,Shieldbearer,WARRIOR
0,2,TRUE,Ironfur Grizzly,DRUID
2,4,TRUE,Secretkeeper,DRUID
1,2,TRUE,Wisp,SHAMAN
1,1,TRUE,Hungry Crab,DRUID
1,1,TRUE,Flying Machine,DRUID
3,3,TRUE,Sir Finley Mrrgglton,PRIEST
1,1,TRUE,Faerie Dragon,DRUID
0,1,TRUE,Patches the Pirate,WARLOCK
1,3,TRUE,Hungry Crab,ROGUE
1,1,TRUE,Acidic Swamp Ooze,ROGUE
0,1,TRUE,Acolyte of Pain,DRUID
2,2,TRUE,Sir Finley Mrrgglton,PALADIN
12,22,TRUE,Competitive Spirit,PALADIN
13,21,TRUE,Voodoo Doctor,PALADIN
68,100,TRUE,Voodoo Doctor,WARLOCK
64,110,TRUE,Redemption,PALADIN
14,20,TRUE,Secretkeeper,WARLOCK
25,38,TRUE,Murloc Raider,WARLOCK
52,69,TRUE,Innervate,DRUID
1,3,TRUE,Spellbender,MAGE
1306,2021,TRUE,Mana Wyrm,MAGE
1,3,TRUE,Murloc Tidecaller,SHAMAN
3,7,TRUE,Stonetusk Boar,WARRIOR
110,192,TRUE,Argent Squire,PRIEST
143,232,TRUE,Argent Squire,SHAMAN
63,121,TRUE,Tracking,HUNTER
73,177,TRUE,Mirror Image,MAGE
48,88,TRUE,Lightwarden,PRIEST
391,543,TRUE,Zombie Chow,PALADIN
368,519,TRUE,Zombie Chow,PRIEST
423,650,TRUE,Webspinner,HUNTER
33,54,TRUE,Cogmaster,WARLOCK
88,137,TRUE,Warbot,WARRIOR
220,307,TRUE,Clockwork Gnome,WARLOCK
17,30,TRUE,Injured Kvaldir,PALADIN
14,20,TRUE,Injured Kvaldir,SHAMAN
81,135,TRUE,Brave Archer,HUNTER
172,254,TRUE,Gadgetzan Jouster,WARLOCK
139,227,TRUE,Gadgetzan Jouster,PALADIN
649,946,TRUE,Tunnel Trogg,SHAMAN
2,5,TRUE,Murloc Tinyfin,HUNTER
45,79,TRUE,On the Hunt,HUNTER
174,263,TRUE,Journey Below,ROGUE
11,20,TRUE,Tentacle of N'Zoth,PRIEST
891,1255,TRUE,Possessed Villager,WARLOCK
635,933,TRUE,Spirit Claws,SHAMAN
47,131,TRUE,Jade Idol,DRUID
351,494,TRUE,Small-Time Buccaneer,ROGUE
216,421,TRUE,I Know a Guy,WARRIOR
372,565,TRUE,Mistress of Mixtures,SHAMAN
21,28,TRUE,Voodoo Doctor,SHAMAN
29,47,TRUE,Secretkeeper,MAGE
20,38,TRUE,Secretkeeper,PALADIN
24,30,TRUE,Murloc Raider,MAGE
6,11,TRUE,Murloc Raider,DRUID
11,14,TRUE,Murloc Raider,ROGUE
14,18,TRUE,Abusive Sergeant,MAGE
14,22,TRUE,Murloc Tidecaller,WARLOCK
2,7,TRUE,Grimscale Oracle,PALADIN
1,4,TRUE,Grimscale Oracle,SHAMAN
6,13,TRUE,Young Dragonhawk,HUNTER
2,6,TRUE,Young Dragonhawk,DRUID
10,17,TRUE,Stonetusk Boar,HUNTER
29,49,TRUE,Leper Gnome,MAGE
9,24,TRUE,Leper Gnome,ROGUE
7,21,TRUE,Leper Gnome,PRIEST
11,22,TRUE,Leper Gnome,HUNTER
0,1,TRUE,Harvest Golem,DRUID
6,15,TRUE,Shieldbearer,WARLOCK
22,43,TRUE,Goldshire Footman,MAGE
8,20,TRUE,Goldshire Footman,PALADIN
18,32,TRUE,Bloodsail Corsair,WARLOCK
10,16,TRUE,Bloodsail Corsair,PRIEST
5,6,TRUE,Bloodsail Corsair,SHAMAN
28,45,TRUE,Young Priestess,SHAMAN
1,5,TRUE,Lightwarden,HUNTER
8,15,TRUE,Duplicate,MAGE
19,32,TRUE,Undertaker,ROGUE
12,28,TRUE,Undertaker,MAGE
4,6,TRUE,Undertaker,DRUID
7,10,TRUE,Spider Tank,DRUID
93,160,TRUE,Clockwork Gnome,SHAMAN
4,7,TRUE,Dragon Egg,WARRIOR
15,22,TRUE,Dragon Egg,PRIEST
108,160,TRUE,Lowly Squire,ROGUE
11,23,TRUE,Lowly Squire,WARRIOR
4,4,TRUE,Silver Hand Regent,DRUID
5,5,TRUE,Effigy,MAGE
86,136,TRUE,Gadgetzan Jouster,SHAMAN
1,1,TRUE,Murloc Tinyfin,ROGUE
16,35,TRUE,Vilefin Inquisitor,PALADIN
23,40,TRUE,Tentacle of N'Zoth,MAGE
2,4,TRUE,Tentacle of N'Zoth,WARRIOR
24,34,TRUE,Zealous Initiate,PRIEST
