avg_attack,average_health,player_class,turn
2.074,3.7536,PRIEST,6
1.3201,2.0469,MAGE,3
4.7391,5.0869,ROGUE,56
15.7846,15.8153,DRUID,64
12.125,12.125,PRIEST,82
3.2995,6.0263,WARRIOR,36
4.4462,4.7889,WARLOCK,47
4.1919,4.3251,ROGUE,41
13,13,PRIEST,88
4.6666,5,ROGUE,59
2.082,2.5211,SHAMAN,10
3.3855,4.6577,PRIEST,44
2.4747,3.0373,PALADIN,51
2,2.5,MAGE,64
2.504,2.2956,HUNTER,9
16.1538,16.2153,DRUID,63
3.4489,4.509,MAGE,60
6.5,6.5,PRIEST,72
3.5904,3.6755,ROGUE,14
2.5231,3.1646,PALADIN,48
10.1566,10.4189,DRUID,53
3.0329,3.2645,SHAMAN,27
9.6584,10.0647,DRUID,52
15.3,15.34,DRUID,67
2.0458,3.0538,WARRIOR,6
3.0447,3.0625,HUNTER,17
6.3202,6.9016,DRUID,33
1.6694,1.8508,ROGUE,5
2.2257,4.0446,PRIEST,7
3.4235,4.6867,PRIEST,45
10.25,10.25,PRIEST,74
3.5843,5.2808,PRIEST,22
3.0068,3.8378,PALADIN,19
4.393,4.951,DRUID,20
3.6394,4.3643,WARLOCK,24
2.788,3.1597,DRUID,10
2.6348,3.3662,PALADIN,37
3.0793,3.6865,MAGE,20
4.2229,4.7828,WARLOCK,35
4.3268,4.8179,WARLOCK,38
20.2941,20.2941,DRUID,80
2.3662,3.5707,WARRIOR,8
4.1027,4.6778,WARLOCK,33
1.9411,2.418,SHAMAN,9
3.8207,4.2611,MAGE,37
3.1025,3.0499,HUNTER,32
3.4995,3.4493,HUNTER,44
3.6666,3,SHAMAN,69
5.3875,5.9855,DRUID,27
9.472,9.8562,DRUID,48
2.9225,3.1374,SHAMAN,33
2.8924,3.6658,PALADIN,27
4.57,6.4036,WARRIOR,60
2.5776,3.3812,PALADIN,13
3.7649,4.8383,PRIEST,58
2.5465,2.632,PALADIN,57
2.625,2.3181,SHAMAN,66
2.722,3.4718,PALADIN,33
3.6427,3.5346,HUNTER,45
4.8666,5.3333,WARLOCK,56
2.1148,2.3269,ROGUE,9
3.2722,3.387,ROGUE,13
1.8352,2.3254,SHAMAN,8
3.4668,3.7731,MAGE,30
1.1264,1.7384,SHAMAN,3
2.9393,3.0505,SHAMAN,50
2.5865,3.3034,PALADIN,41
4.4413,4.8759,WARLOCK,45
1.8644,3.312,PRIEST,5
3.8824,4.4602,MAGE,42
2.5412,3.216,PALADIN,46
2.589,2.5066,PALADIN,63
20.6666,20.6666,DRUID,78
3.7643,4.4577,WARLOCK,26
2.7795,3.5331,PALADIN,31
2.5335,2.8858,PALADIN,60
4.1415,3.6226,HUNTER,53
5.5294,4.2941,HUNTER,57
1.7096,2.2415,PALADIN,5
3.2783,3.6807,MAGE,26
3.1077,3.0705,HUNTER,28
3.7606,6.2943,WARRIOR,47
4.0089,4.2918,ROGUE,43
3.6142,3.2142,HUNTER,54
2.9708,3.7678,PALADIN,22
2.9526,3.1772,SHAMAN,31
3.8721,4.5326,WARLOCK,28
1.2927,2.9278,PRIEST,3
4.2064,4.3013,ROGUE,35
4.1229,3.877,HUNTER,52
3.7142,4.2857,PALADIN,67
2.3142,2.9782,PALADIN,10
2.5285,4.4989,PRIEST,9
1.8227,2.3013,MAGE,5
3.1376,3.1601,HUNTER,21
3.6283,6.2223,WARRIOR,45
4.1752,4.2824,ROGUE,36
4.8285,4.5714,ROGUE,54
3.8181,6.0909,WARRIOR,68
2.6387,3.4621,PALADIN,14
3.1616,5.9082,WARRIOR,24
2.9177,3.302,DRUID,11
3.533,5.0473,PRIEST,29
3.6067,5.2821,PRIEST,23
4.5789,4.5426,ROGUE,25
3.7177,4.5833,MAGE,58
3.6627,4.1771,DRUID,16
2.9219,3.0709,SHAMAN,46
4.4393,4.6764,WARLOCK,52
14,14,PRIEST,83
2.0286,2.5285,MAGE,8
2.9577,5.5691,WARRIOR,19
3.3316,4.6724,PRIEST,38
2.9429,3.0848,SHAMAN,48
7.0339,7.5812,DRUID,37
4.5467,4.5276,ROGUE,20
3.6481,4.7467,PRIEST,48
4.2909,4.6428,WARLOCK,53
4.9699,5.5563,DRUID,24
3.355,4.7143,PRIEST,36
3.2038,3.1823,HUNTER,40
4.355,4.3812,ROGUE,31
3.3397,3.3067,HUNTER,41
4,4.5,ROGUE,60
3,4,ROGUE,65
2.7692,4.6153,WARRIOR,67
5,5,ROGUE,74
3.7326,4.1312,MAGE,35
3.7971,4.4486,MAGE,50
4.1505,4.3212,ROGUE,40
3.7892,3.6091,HUNTER,46
5.16,4.44,HUNTER,56
4.1111,3.7777,HUNTER,63
4,4.5,ROGUE,66
3.141,5.8861,WARRIOR,23
2.9305,3.1203,SHAMAN,16
3.2516,3.6866,MAGE,25
2.138,2.4084,DRUID,6
3.5127,4.7302,PRIEST,47
4.4765,4.8925,WARLOCK,42
1.0179,2.7033,PRIEST,2
7.3067,7.8372,DRUID,38
2.2604,2.3484,PALADIN,61
20.25,20.25,DRUID,82
2.5046,3.25,PALADIN,12
2.0524,2.2548,ROGUE,8
3.5708,3.8877,MAGE,32
