n_games,num_turns,player_class
810,43,DRUID
104,43,HUNTER
5858,43,MAGE
1334,43,PALADIN
7200,43,PRIEST
296,43,ROGUE
4530,43,SHAMAN
4933,43,WARLOCK
2501,43,WARRIOR
672,44,DRUID
72,44,HUNTER
5338,44,MAGE
1229,44,PALADIN
6565,44,PRIEST
247,44,ROGUE
3945,44,SHAMAN
4199,44,WARLOCK
2497,44,WARRIOR
474,45,DRUID
82,45,HUNTER
4689,45,MAGE
950,45,PALADIN
5607,45,PRIEST
189,45,ROGUE
3210,45,SHAMAN
3325,45,WARLOCK
2246,45,WARRIOR
313,46,DRUID
60,46,HUNTER
4300,46,MAGE
799,46,PALADIN
4881,46,PRIEST
132,46,ROGUE
2786,46,SHAMAN
2648,46,WARLOCK
2071,46,WARRIOR
245,47,DRUID
38,47,HUNTER
3706,47,MAGE
654,47,PALADIN
3919,47,PRIEST
114,47,ROGUE
2104,47,SHAMAN
1900,47,WARLOCK
1836,47,WARRIOR
179,48,DRUID
34,48,HUNTER
3655,48,MAGE
561,48,PALADIN
3710,48,PRIEST
93,48,ROGUE
1772,48,SHAMAN
1567,48,WARLOCK
1793,48,WARRIOR
142,49,DRUID
24,49,HUNTER
3045,49,MAGE
483,49,PALADIN
3139,49,PRIEST
62,49,ROGUE
1363,49,SHAMAN
1151,49,WARLOCK
1577,49,WARRIOR
108,50,DRUID
42,50,HUNTER
2849,50,MAGE
367,50,PALADIN
2787,50,PRIEST
71,50,ROGUE
1097,50,SHAMAN
829,50,WARLOCK
1428,50,WARRIOR
78,51,DRUID
18,51,HUNTER
2250,51,MAGE
295,51,PALADIN
2355,51,PRIEST
39,51,ROGUE
848,51,SHAMAN
627,51,WARLOCK
1210,51,WARRIOR
67,52,DRUID
25,52,HUNTER
2183,52,MAGE
230,52,PALADIN
2108,52,PRIEST
30,52,ROGUE
736,52,SHAMAN
448,52,WARLOCK
1095,52,WARRIOR
49,53,DRUID
16,53,HUNTER
1750,53,MAGE
167,53,PALADIN
1822,53,PRIEST
18,53,ROGUE
530,53,SHAMAN
306,53,WARLOCK
978,53,WARRIOR
38,54,DRUID
9,54,HUNTER
1552,54,MAGE
147,54,PALADIN
1578,54,PRIEST
17,54,ROGUE
407,54,SHAMAN
244,54,WARLOCK
906,54,WARRIOR
30,55,DRUID
9,55,HUNTER
1333,55,MAGE
115,55,PALADIN
1374,55,PRIEST
14,55,ROGUE
334,55,SHAMAN
168,55,WARLOCK
753,55,WARRIOR
20,56,DRUID
2,56,HUNTER
1121,56,MAGE
90,56,PALADIN
1084,56,PRIEST
13,56,ROGUE
243,56,SHAMAN
119,56,WARLOCK
650,56,WARRIOR
11,57,DRUID
5,57,HUNTER
919,57,MAGE
69,57,PALADIN
967,57,PRIEST
9,57,ROGUE
185,57,SHAMAN
80,57,WARLOCK
575,57,WARRIOR
17,58,DRUID
811,58,MAGE
72,58,PALADIN
816,58,PRIEST
5,58,ROGUE
142,58,SHAMAN
61,58,WARLOCK
500,58,WARRIOR
9,59,DRUID
3,59,HUNTER
637,59,MAGE
39,59,PALADIN
617,59,PRIEST
7,59,ROGUE
110,59,SHAMAN
37,59,WARLOCK
427,59,WARRIOR
9,60,DRUID
550,60,MAGE
23,60,PALADIN
618,60,PRIEST
4,60,ROGUE
71,60,SHAMAN
41,60,WARLOCK
356,60,WARRIOR
2,61,DRUID
1,61,HUNTER
417,61,MAGE
19,61,PALADIN
454,61,PRIEST
8,61,ROGUE
60,61,SHAMAN
18,61,WARLOCK
323,61,WARRIOR
5,62,DRUID
1,62,HUNTER
339,62,MAGE
22,62,PALADIN
392,62,PRIEST
6,62,ROGUE
36,62,SHAMAN
15,62,WARLOCK
266,62,WARRIOR
1,63,DRUID
1,63,HUNTER
218,63,MAGE
19,63,PALADIN
299,63,PRIEST
3,63,ROGUE
26,63,SHAMAN
12,63,WARLOCK
205,63,WARRIOR
1,64,DRUID
1,64,HUNTER
178,64,MAGE
8,64,PALADIN
269,64,PRIEST
1,64,ROGUE
30,64,SHAMAN
4,64,WARLOCK
166,64,WARRIOR
1,65,DRUID
3,65,HUNTER
146,65,MAGE
4,65,PALADIN
208,65,PRIEST
12,65,SHAMAN
4,65,WARLOCK
144,65,WARRIOR
1,66,DRUID
102,66,MAGE
3,66,PALADIN
177,66,PRIEST
13,66,SHAMAN
3,66,WARLOCK
125,66,WARRIOR
2,67,DRUID
82,67,MAGE
3,67,PALADIN
112,67,PRIEST
1,67,ROGUE
4,67,SHAMAN
2,67,WARLOCK
94,67,WARRIOR
2,68,DRUID
63,68,MAGE
2,68,PALADIN
92,68,PRIEST
2,68,SHAMAN
69,68,WARRIOR
1,69,DRUID
2,69,HUNTER
31,69,MAGE
1,69,PALADIN
84,69,PRIEST
3,69,SHAMAN
1,69,WARLOCK
39,69,WARRIOR
1,70,DRUID
28,70,MAGE
52,70,PRIEST
1,70,SHAMAN
36,70,WARRIOR
2,71,DRUID
16,71,MAGE
34,71,PRIEST
3,71,SHAMAN
1,71,WARLOCK
38,71,WARRIOR
3,72,DRUID
9,72,MAGE
41,72,PRIEST
27,72,WARRIOR
9,73,MAGE
29,73,PRIEST
1,73,SHAMAN
1,73,WARLOCK
20,73,WARRIOR
1,74,DRUID
5,74,MAGE
18,74,PRIEST
14,74,WARRIOR
3,75,MAGE
13,75,PRIEST
6,75,WARRIOR
1,76,DRUID
6,76,PRIEST
5,76,WARRIOR
3,77,PRIEST
5,77,WARRIOR
2,78,MAGE
5,78,PRIEST
5,78,WARRIOR
9,79,PRIEST
3,79,WARRIOR
4,80,PRIEST
1,81,MAGE
3,81,PRIEST
1,81,ROGUE
1,81,WARLOCK
4,83,WARRIOR
1,85,DRUID
3,85,PRIEST
1,86,DRUID
1,86,PRIEST
1,90,MAGE
1,90,PRIEST
