avg_attack,average_health,player_class,turn
3.9941,5.4946,PRIEST,53
2.7566,3.93,WARLOCK,9
2.8487,3.1838,PALADIN,15
3.5069,3.0654,SHAMAN,62
4.3333,5.3333,MAGE,77
4.3411,4.962,DRUID,21
3.8044,3.8856,ROGUE,26
4.8083,5.393,WARRIOR,54
4.3675,5.8167,PRIEST,66
2,2.4285,SHAMAN,70
3.1229,3.1316,SHAMAN,20
3.5918,4.5138,MAGE,29
3.7619,3.5205,SHAMAN,34
3.7544,5.2777,PRIEST,40
4.4926,5.2189,WARLOCK,49
4.0134,4.2415,ROGUE,45
3.7231,3.5021,SHAMAN,33
3.148,3.3299,PALADIN,27
4.9849,5.5711,WARRIOR,60
1.625,1.75,PALADIN,70
4.3479,5.2327,WARRIOR,44
3.1635,3.4882,PALADIN,18
3.5955,5.2497,PRIEST,32
2.7973,2.8805,PALADIN,55
4.0434,4.3396,ROGUE,57
2.7308,3.0287,PALADIN,13
4.407,5.6143,PRIEST,58
2.9428,2.8941,SHAMAN,66
2.7373,2.7562,PALADIN,57
5.0217,5.468,WARRIOR,75
3.3403,3.3092,SHAMAN,24
2.4681,2.6207,SHAMAN,11
2.1513,3.2179,WARLOCK,7
3.9184,4.9647,WARLOCK,31
3.1394,3.3369,PALADIN,26
2.3333,2.3333,NEUTRAL,12
14.5277,14.6527,DRUID,62
3.5008,5.1884,PRIEST,21
2.9647,3.6763,MAGE,13
3.1138,4.8469,PRIEST,15
2.2117,2.6195,PALADIN,9
13.7109,13.8759,DRUID,58
20.9354,20.9354,DRUID,77
12,12,WARRIOR,84
2.1676,2.4088,SHAMAN,8
3.5811,4.5216,MAGE,30
3.0374,2.808,ROGUE,9
1.2202,2.0603,SHAMAN,3
3.4678,3.2621,ROGUE,13
3.8023,3.404,SHAMAN,50
3.1844,3.1908,PALADIN,41
4.7445,5.2218,WARLOCK,45
3.8888,4.6666,MAGE,75
4.0319,4.8651,WARRIOR,22
3.5761,4.345,MAGE,21
20.6984,5.4689,PRIEST,51
2.9047,2.936,SHAMAN,17
3.5965,4.4366,MAGE,24
3.2982,3.5103,PALADIN,21
3.3877,3.532,HUNTER,49
5.8,5.3846,ROGUE,62
1.7142,2.2857,HUNTER,61
20.3103,20.3103,DRUID,83
5.4285,6,ROGUE,63
3.1469,3.4038,WARRIOR,14
3.9711,3.6279,SHAMAN,39
6.8561,5.758,PRIEST,62
2.6745,3.4775,MAGE,10
3.8671,4.9341,WARLOCK,29
4.1226,5.0617,WARLOCK,37
2.5296,2.3638,ROGUE,7
4.0397,3.6714,SHAMAN,41
2.9881,3.1828,HUNTER,42
2.9416,3.0334,PALADIN,50
3.8268,3.9982,ROGUE,33
5.75,5.875,PRIEST,79
18.2702,18.2972,DRUID,73
3.2131,3.2116,SHAMAN,21
1.5862,3.2945,PRIEST,4
2.8852,2.8896,HUNTER,12
286.4093,4.9211,MAGE,56
3.7811,4.9924,MAGE,63
9.3181,9.6087,DRUID,45
12.9489,13.1734,DRUID,60
14.9791,15.125,DRUID,65
4.5041,5.33,WARRIOR,46
3.2328,4.93,PRIEST,17
1.7826,1.8983,WARRIOR,5
3.59,4.6499,WARLOCK,20
3.0282,3.6642,DRUID,12
3.8348,3.8525,ROGUE,24
3.1873,3.1906,PALADIN,43
3.8212,4.911,WARLOCK,27
5.0153,5.5689,WARRIOR,63
2.3076,2.0769,PALADIN,69
3.281,3.9914,MAGE,16
3.0756,4.8174,PRIEST,14
3.1129,3.2595,WARRIOR,13
2.6938,2.8281,WARRIOR,9
2.5057,2.9932,DRUID,9
4.0134,3.6529,SHAMAN,40
2.884,4.0099,WARLOCK,10
2.0303,2.4352,PALADIN,8
1.5041,1.8472,PALADIN,3
3.2147,3.1999,PALADIN,39
4.9311,5.5321,WARRIOR,58
3.6332,4.7391,MAGE,69
3.8921,3.996,ROGUE,52
4.1124,5.0658,WARRIOR,25
3.2032,3.1876,PALADIN,40
4.3004,5.7248,PRIEST,63
4.2099,5.6258,PRIEST,56
