n_games,num_turns,player_class
295,43,ROGUE
5608,43,SHAMAN
6919,43,WARLOCK
3693,43,WARRIOR
651,44,DRUID
156,44,HUNTER
9908,44,MAGE
1401,44,PALADIN
6943,44,PRIEST
258,44,ROGUE
4947,44,SHAMAN
5496,44,WARLOCK
3608,44,WARRIOR
456,45,DRUID
123,45,HUNTER
8826,45,MAGE
1194,45,PALADIN
6208,45,PRIEST
216,45,ROGUE
3927,45,SHAMAN
4495,45,WARLOCK
3257,45,WARRIOR
338,46,DRUID
89,46,HUNTER
8477,46,MAGE
1002,46,PALADIN
5746,46,PRIEST
152,46,ROGUE
3637,46,SHAMAN
3651,46,WARLOCK
3308,46,WARRIOR
264,47,DRUID
74,47,HUNTER
7503,47,MAGE
832,47,PALADIN
5049,47,PRIEST
159,47,ROGUE
2868,47,SHAMAN
2732,47,WARLOCK
2945,47,WARRIOR
202,48,DRUID
66,48,HUNTER
7236,48,MAGE
701,48,PALADIN
4656,48,PRIEST
89,48,ROGUE
2434,48,SHAMAN
2192,48,WARLOCK
2822,48,WARRIOR
148,49,DRUID
50,49,HUNTER
6311,49,MAGE
584,49,PALADIN
4032,49,PRIEST
73,49,ROGUE
1944,49,SHAMAN
1607,49,WARLOCK
2507,49,WARRIOR
99,50,DRUID
46,50,HUNTER
6154,50,MAGE
464,50,PALADIN
3843,50,PRIEST
70,50,ROGUE
1591,50,SHAMAN
1241,50,WARLOCK
2368,50,WARRIOR
84,51,DRUID
43,51,HUNTER
5318,51,MAGE
406,51,PALADIN
3302,51,PRIEST
47,51,ROGUE
1234,51,SHAMAN
914,51,WARLOCK
2082,51,WARRIOR
73,52,DRUID
31,52,HUNTER
4867,52,MAGE
323,52,PALADIN
3070,52,PRIEST
32,52,ROGUE
1000,52,SHAMAN
628,52,WARLOCK
1990,52,WARRIOR
42,53,DRUID
22,53,HUNTER
4236,53,MAGE
268,53,PALADIN
2716,53,PRIEST
41,53,ROGUE
839,53,SHAMAN
462,53,WARLOCK
1840,53,WARRIOR
39,54,DRUID
19,54,HUNTER
3915,54,MAGE
223,54,PALADIN
2413,54,PRIEST
24,54,ROGUE
642,54,SHAMAN
404,54,WARLOCK
1739,54,WARRIOR
26,55,DRUID
9,55,HUNTER
3435,55,MAGE
174,55,PALADIN
2053,55,PRIEST
20,55,ROGUE
492,55,SHAMAN
208,55,WARLOCK
1519,55,WARRIOR
14,56,DRUID
9,56,HUNTER
2984,56,MAGE
136,56,PALADIN
1889,56,PRIEST
12,56,ROGUE
377,56,SHAMAN
165,56,WARLOCK
1316,56,WARRIOR
17,57,DRUID
6,57,HUNTER
2447,57,MAGE
102,57,PALADIN
1575,57,PRIEST
11,57,ROGUE
289,57,SHAMAN
117,57,WARLOCK
1146,57,WARRIOR
10,58,DRUID
8,58,HUNTER
2344,58,MAGE
96,58,PALADIN
1476,58,PRIEST
7,58,ROGUE
243,58,SHAMAN
101,58,WARLOCK
1097,58,WARRIOR
5,59,DRUID
10,59,HUNTER
1797,59,MAGE
76,59,PALADIN
1229,59,PRIEST
2,59,ROGUE
165,59,SHAMAN
66,59,WARLOCK
952,59,WARRIOR
4,60,DRUID
3,60,HUNTER
1472,60,MAGE
52,60,PALADIN
1082,60,PRIEST
3,60,ROGUE
119,60,SHAMAN
27,60,WARLOCK
838,60,WARRIOR
3,61,DRUID
1,61,HUNTER
1282,61,MAGE
25,61,PALADIN
886,61,PRIEST
6,61,ROGUE
87,61,SHAMAN
33,61,WARLOCK
711,61,WARRIOR
2,62,DRUID
1,62,HUNTER
1020,62,MAGE
21,62,PALADIN
802,62,PRIEST
3,62,ROGUE
53,62,SHAMAN
19,62,WARLOCK
625,62,WARRIOR
4,63,DRUID
2,63,HUNTER
800,63,MAGE
20,63,PALADIN
574,63,PRIEST
3,63,ROGUE
33,63,SHAMAN
11,63,WARLOCK
507,63,WARRIOR
4,64,DRUID
625,64,MAGE
13,64,PALADIN
517,64,PRIEST
1,64,ROGUE
36,64,SHAMAN
6,64,WARLOCK
470,64,WARRIOR
1,65,DRUID
460,65,MAGE
10,65,PALADIN
401,65,PRIEST
16,65,SHAMAN
6,65,WARLOCK
378,65,WARRIOR
1,66,DRUID
3,66,HUNTER
363,66,MAGE
6,66,PALADIN
374,66,PRIEST
1,66,ROGUE
13,66,SHAMAN
3,66,WARLOCK
308,66,WARRIOR
1,67,DRUID
2,67,HUNTER
239,67,MAGE
6,67,PALADIN
226,67,PRIEST
9,67,SHAMAN
4,67,WARLOCK
207,67,WARRIOR
1,68,DRUID
181,68,MAGE
7,68,PALADIN
218,68,PRIEST
8,68,SHAMAN
1,68,WARLOCK
186,68,WARRIOR
128,69,MAGE
2,69,PALADIN
165,69,PRIEST
1,69,ROGUE
2,69,SHAMAN
3,69,WARLOCK
141,69,WARRIOR
87,70,MAGE
2,70,PALADIN
111,70,PRIEST
98,70,WARRIOR
61,71,MAGE
1,71,PALADIN
93,71,PRIEST
1,71,SHAMAN
84,71,WARRIOR
33,72,MAGE
69,72,PRIEST
1,72,ROGUE
2,72,SHAMAN
81,72,WARRIOR
1,73,DRUID
27,73,MAGE
1,73,PALADIN
71,73,PRIEST
1,73,SHAMAN
51,73,WARRIOR
13,74,MAGE
32,74,PRIEST
41,74,WARRIOR
8,75,MAGE
21,75,PRIEST
1,75,SHAMAN
16,75,WARRIOR
2,76,MAGE
11,76,PRIEST
1,76,SHAMAN
16,76,WARRIOR
1,77,DRUID
4,77,MAGE
19,77,PRIEST
20,77,WARRIOR
3,78,MAGE
10,78,PRIEST
21,78,WARRIOR
3,79,PRIEST
11,79,WARRIOR
8,80,PRIEST
10,80,WARRIOR
3,81,PRIEST
9,81,WARRIOR
2,82,WARRIOR
12,83,WARRIOR
4,84,PRIEST
6,84,WARRIOR
1,86,DRUID
1,86,PRIEST
2,86,WARRIOR
1,89,DRUID
1,89,PRIEST
4,90,DRUID
2,90,PRIEST
