avg_attack,average_health,player_class,turn
4.1032,4.452,ROGUE,46
3.5463,4.1363,MAGE,20
4.0155,4.9493,WARLOCK,35
4.1436,5.0004,WARLOCK,38
20.5,21,DRUID,80
5.125,5.8888,WARLOCK,66
4.2294,5.1237,WARRIOR,27
4.7244,5.3455,DRUID,23
2.5687,2.9309,PALADIN,11
1.8918,2.4773,SHAMAN,5
3.1635,3.3436,PALADIN,28
3.1122,3.243,HUNTER,26
4.5983,5.3531,WARRIOR,48
4.4959,6.0261,PRIEST,64
5.8333,7,WARLOCK,67
3,5,WARLOCK,73
2.6373,2.4843,ROGUE,8
1.2136,1.113,ROGUE,3
3.6011,5.2368,PRIEST,27
3.6119,4.428,MAGE,32
2.6571,2.6802,HUNTER,11
2.7022,3.0012,PALADIN,12
3.1506,3.2526,HUNTER,24
3.5922,4.489,MAGE,41
4.6952,5.4149,WARRIOR,49
3.7904,4.9591,MAGE,59
2.596,2.6732,PALADIN,58
19.575,19.575,DRUID,70
12,12,WARRIOR,78
4.232,5.0497,WARRIOR,25
3.1488,3.2002,PALADIN,40
83.7781,5.7072,PRIEST,56
4.4095,5.9621,PRIEST,63
3.5247,3.8487,WARRIOR,17
2.9753,3.8238,WARLOCK,14
3.7029,5.24,PRIEST,37
12.1009,12.2853,DRUID,54
3.5585,5.2164,PRIEST,24
3.6138,4.2682,MAGE,23
4.0543,4.9723,WARLOCK,36
1.9657,1.8966,ROGUE,6
3.1653,3.2536,PALADIN,35
3.9019,4.1175,ROGUE,38
20,20,DRUID,76
4.1078,4.8167,WARRIOR,22
3.5832,4.1913,MAGE,21
3.157,4.8847,PRIEST,16
3.2822,3.4674,WARRIOR,15
3.8184,4.5003,DRUID,17
3.5641,4.5722,WARLOCK,22
5,5.25,NEUTRAL,21
3.2259,3.2207,HUNTER,19
4.1819,5.1897,WARRIOR,33
3.1874,3.3301,HUNTER,37
4.0903,4.3656,ROGUE,48
4.6556,5.4618,WARLOCK,58
2.6315,3,MAGE,72
3.1625,4.0232,WARLOCK,16
2.0149,2.4316,SHAMAN,7
3.1847,3.2509,HUNTER,22
4.3755,5.2769,WARRIOR,42
3.7984,4.8472,MAGE,53
3.3478,4.2857,MAGE,70
6.04,6.2857,PRIEST,76
3.8333,6,NEUTRAL,14
3.5965,3.4709,SHAMAN,32
3.3707,4.0755,DRUID,14
1.1173,1.0156,ROGUE,2
4.0943,4.4104,ROGUE,47
5.7954,6.0786,WARRIOR,69
4.6,3.8,WARRIOR,76
2.8181,2.7,SHAMAN,68
3.2104,3.2571,SHAMAN,20
3.6152,4.3923,MAGE,29
3.6602,3.4907,SHAMAN,34
4.0627,5.2437,PRIEST,40
4.4922,5.1622,WARLOCK,49
4.1077,4.4043,ROGUE,45
9.9318,10.1826,DRUID,46
2.4545,2.8461,MAGE,74
3.4147,5.1245,PRIEST,20
3.2186,3.9098,DRUID,13
3.9586,4.6252,DRUID,18
2.6887,4.5704,PRIEST,10
2.2515,2.1316,HUNTER,6
3.0413,3.2087,HUNTER,38
14.089,14.1683,DRUID,57
2.476,3.3916,WARLOCK,9
2.9099,3.2387,PALADIN,15
2.8163,2.649,SHAMAN,62
4.25,4.75,MAGE,77
4.1775,5.1764,WARRIOR,31
1.8791,2.6004,WARLOCK,5
9.0522,9.3715,DRUID,42
24.6666,24.6666,DRUID,84
2.3994,2.3233,HUNTER,7
3.5877,4.4408,MAGE,36
3.2646,2.9852,SHAMAN,57
1.2631,1,PALADIN,66
3.5826,5.231,PRIEST,26
3.1624,3.186,PALADIN,42
4.4594,4.9224,WARLOCK,60
4.9638,5.0465,ROGUE,55
3.399,3.4154,SHAMAN,24
2.0143,2.9235,WARLOCK,7
2.4181,2.6359,SHAMAN,11
3.8914,4.8944,WARLOCK,31
3.1901,3.3862,PALADIN,26
16.3205,18.0641,DRUID,62
3.5,6,NEUTRAL,12
3.2546,3.1076,ROGUE,12
3.032,3.0284,HUNTER,16
3.7702,3.538,SHAMAN,37
3.7015,4.6695,MAGE,49
3.2133,2.9176,SHAMAN,64
20,20,DRUID,75
2.5887,2.6052,HUNTER,10
3.6979,3.5089,SHAMAN,35
4.1286,5.2416,PRIEST,41
656.4867,5.8733,PRIEST,59
3.8855,5.0228,MAGE,61
3.5817,5.2329,PRIEST,25
2.2958,2.7357,DRUID,8
1.9094,2.7535,WARLOCK,6
2.6028,2.7158,SHAMAN,13
1.1457,1.2127,DRUID,3
1.151,1.1158,HUNTER,2
3.0905,3.2183,PALADIN,52
3.4876,5.1692,PRIEST,21
4.1951,5.1254,WARRIOR,28
3.62,5.2294,PRIEST,33
3.1852,3.3469,PALADIN,29
4.1693,5.1879,WARRIOR,32
2.1382,4.2779,PRIEST,8
3.3291,4.2613,WARLOCK,19
3.9482,3.634,SHAMAN,42
2.8891,4.6704,PRIEST,11
2.9585,2.9155,HUNTER,14
1.8126,2.39,WARLOCK,4
3.5953,4.5353,MAGE,44
4.5693,5.2848,WARLOCK,55
4.7451,5.2482,WARRIOR,62
2,2.75,NEUTRAL,17
3.4,3.6,NEUTRAL,19
6,7,WARLOCK,68
3.138,3.2697,PALADIN,32
3.6538,4.5936,MAGE,47
1.0984,1.7445,MAGE,2
3.0962,3.1736,PALADIN,44
5.6,6.1818,WARLOCK,65
2.875,2.3809,SHAMAN,67
2.0355,2.3944,DRUID,7
3.604,5.2303,PRIEST,30
3.4554,3.355,ROGUE,15
3.536,3.2322,SHAMAN,54
4.5508,5.6829,PRIEST,71
13.1476,3.5483,HUNTER,48
8.5714,8.4444,PRIEST,81
4,4.5,NEUTRAL,18
2.6143,3.2222,MAGE,10
3.8343,4.8573,WARLOCK,29
2.3511,2.2522,ROGUE,7
4.1034,4.9966,WARLOCK,37
3.8546,4.0348,ROGUE,33
3.8957,3.5968,SHAMAN,41
2.9943,3.1513,PALADIN,50
3.3839,3.1559,HUNTER,42
6.625,6.9444,PRIEST,79
17.6315,17.6315,DRUID,73
5.4313,6.014,DRUID,27
10.5477,10.8022,DRUID,48
1.9271,2.3225,PALADIN,7
3.6171,4.4338,MAGE,33
1.107,1.191,WARRIOR,2
3.1376,3.3304,HUNTER,34
4.423,3.6538,HUNTER,55
3,5,WARLOCK,72
12.1428,13,PRIEST,84
2.3213,2.542,WARRIOR,7
3.2266,3.5336,PALADIN,17
1.3667,1.496,DRUID,4
3.7504,3.397,SHAMAN,51
4.3951,5.1407,WARLOCK,43
4.3645,5.7994,PRIEST,57
5.1154,5.5732,WARRIOR,65
11.5858,11.9118,DRUID,55
17.1956,19.8478,DRUID,68
17.6666,17.6666,DRUID,74
3.8666,3.9444,WARRIOR,74
2.851,2.7089,ROGUE,9
3.3269,3.1631,ROGUE,13
2.1236,2.459,SHAMAN,8
3.6055,4.3994,MAGE,30
1.2705,2.6285,SHAMAN,3
3.8595,3.4869,SHAMAN,50
4.4546,5.1717,WARLOCK,45
3.1392,3.1883,PALADIN,41
5,5.4,MAGE,75
2.9312,3.0198,WARRIOR,11
2134.1568,5.8979,PRIEST,61
3.326,3.3609,SHAMAN,22
1.3253,1.2323,ROGUE,4
3.7158,4.7234,MAGE,51
3.6363,4.409,WARRIOR,73
4.3,3.8,HUNTER,59
2,1,ROGUE,68
32.7903,5.4203,PRIEST,49
2.9944,3.1057,PALADIN,49
2.6172,2.7368,PALADIN,56
26,26,DRUID,85
4.5555,3.5555,HUNTER,58
2,3,NEUTRAL,27
3.8803,3.5076,SHAMAN,49
5.6933,6.0394,WARRIOR,70
3.5353,3.4651,SHAMAN,29
3.7989,3.5505,SHAMAN,38
3.9064,4.8976,WARLOCK,32
3.2046,3.2764,HUNTER,23
6.0118,6.5454,DRUID,30
67.1644,5.6678,PRIEST,55
4.662,6.2727,PRIEST,68
3.9022,5.0617,MAGE,62
24.2,24.2,DRUID,81
4.1938,5.1471,WARRIOR,29
3.3917,3.4173,SHAMAN,23
3.1334,3.1888,SHAMAN,19
4.2339,5.0642,WARLOCK,40
4.4399,5.1696,WARLOCK,44
11.0077,11.2759,DRUID,51
4.5,4.25,WARRIOR,83
3.4002,3.2732,ROGUE,14
3.0668,3.1743,PALADIN,48
12.1834,12.322,DRUID,53
5.0634,5.6677,DRUID,25
3.5795,4.4446,MAGE,38
3.7636,4.8109,MAGE,54
3.1268,3.2916,HUNTER,31
5.3571,5.6,WARLOCK,64
3.4136,3.6773,WARRIOR,16
2.5306,2.6694,SHAMAN,12
3.006,3.5689,MAGE,14
2.0109,2.4429,MAGE,6
4.7877,5.2378,PRIEST,42
4.2236,5.236,WARRIOR,35
17.5156,19.4062,DRUID,66
2,2,HUNTER,65
3.2055,4.9209,PRIEST,17
1.7432,1.9153,WARRIOR,5
3.4294,4.3931,WARLOCK,20
3.0573,3.7306,DRUID,12
3.7264,3.8217,ROGUE,24
4.5515,5.3341,WARRIOR,46
3.1326,3.183,PALADIN,43
4,4,NEUTRAL,37
3.6153,3.5614,ROGUE,18
2.1411,2.6215,MAGE,7
5.2297,5.8232,DRUID,26
2.9651,2.8973,HUNTER,13
3.7869,3.9707,ROGUE,30
1.164,1.2927,WARRIOR,3
4.9076,5.4477,WARLOCK,61
3.7137,4.8093,MAGE,66
2.9717,3.0403,SHAMAN,17
3.342,3.5514,PALADIN,21
3.6094,4.2926,MAGE,24
88.352,5.4799,PRIEST,51
13.8958,3.5561,HUNTER,49
5,4.4,HUNTER,61
24.8571,24.8571,DRUID,83
8.6,9,ROGUE,62
9.5555,8.8888,ROGUE,63
2.0457,2.4602,PALADIN,8
2.6163,3.5165,WARLOCK,10
1.4764,1.7675,PALADIN,3
3.1768,3.2229,PALADIN,39
4.9137,5.5176,WARRIOR,58
4.8009,5.0865,ROGUE,52
3.5054,4.6489,MAGE,69
2.0605,2.2974,WARRIOR,6
1.9726,4.0446,PRIEST,7
1.6986,1.6181,ROGUE,5
6.7185,7.1859,DRUID,33
3.0968,3.1068,HUNTER,17
7.5055,5.3167,PRIEST,45
5.875,6.5142,PRIEST,74
3,2,WARRIOR,82
3.4806,4.0487,MAGE,19
3.137,3.3016,HUNTER,30
6.1481,5.7931,ROGUE,61
7.1804,3.5636,HUNTER,47
2.5714,2.6666,PALADIN,64
3.6368,3.4864,SHAMAN,33
3.2033,3.3818,PALADIN,27
4.9289,5.4298,WARRIOR,60
3.5921,4.4855,MAGE,40
3.7217,3.5147,SHAMAN,36
3.8861,4.0963,ROGUE,39
4.949,5.5235,WARRIOR,61
10.6311,10.8986,DRUID,49
3.616,5.236,PRIEST,31
4.0341,4.6883,WARRIOR,21
3.4957,3.4479,SHAMAN,28
2.9558,2.9379,HUNTER,15
1.0429,1.0677,DRUID,2
4.1032,4.2383,ROGUE,49
4.5646,6.2998,PRIEST,65
10.1414,10.3855,DRUID,47
4.9492,5.442,WARRIOR,64
4.6333,5.2121,WARLOCK,63
2.5,5.1428,NEUTRAL,4
3.0749,4.8383,PRIEST,15
2.8953,3.4388,MAGE,13
2.2367,2.6538,PALADIN,9
14.1117,14.7225,DRUID,58
