player_class,card_name,rarity,before_zone,times_played,win_percentage
SHAMAN,Hallazeal the Ascended,LEGENDARY,HAND,335,56.42
SHAMAN,Al'Akir the Windlord,LEGENDARY,HAND,332,62.05
WARRIOR,Twilight Summoner,EPIC,HAND,330,50
WARRIOR,Doomsayer,EPIC,HAND,325,35.38
PRIEST,Prophet Velen,LEGENDARY,HAND,323,62.54
PALADIN,Sword of Justice,EPIC,HAND,321,40.5
WARLOCK,Bloodmage Thalnos,LEGENDARY,HAND,318,45.28
DRUID,Cenarius,LEGENDARY,HAND,312,55.45
PRIEST,Arcane Giant,EPIC,HAND,310,63.23
ROGUE,Reno Jackson,LEGENDARY,HAND,310,33.23
WARRIOR,Cairne Bloodhoof,LEGENDARY,HAND,307,60.26
WARLOCK,Krul the Unshackled,LEGENDARY,HAND,305,64.26
DRUID,The Curator,LEGENDARY,HAND,303,38.28
WARRIOR,Don Han'Cho,LEGENDARY,HAND,303,48.84
HUNTER,Leeroy Jenkins,LEGENDARY,HAND,298,62.42
PRIEST,"N'Zoth, the Corruptor",LEGENDARY,HAND,294,65.31
WARLOCK,Alexstrasza,LEGENDARY,HAND,287,60.98
PALADIN,The Curator,LEGENDARY,HAND,280,58.93
WARLOCK,Barnes,LEGENDARY,HAND,279,44.8
PALADIN,Leeroy Jenkins,LEGENDARY,HAND,264,76.52
WARLOCK,Sea Giant,EPIC,HAND,262,33.21
WARLOCK,Dreadsteed,EPIC,HAND,254,44.49
WARRIOR,The Curator,LEGENDARY,HAND,254,40.94
SHAMAN,Eternal Sentinel,EPIC,HAND,250,34
WARLOCK,Lord Jaraxxus,LEGENDARY,HAND,250,66.4
PALADIN,Fight Promoter,EPIC,HAND,240,50
PRIEST,"Medivh, the Guardian",LEGENDARY,HAND,238,66.81
ROGUE,Southsea Captain,EPIC,HAND,237,40.51
SHAMAN,Cairne Bloodhoof,LEGENDARY,HAND,233,63.09
PALADIN,Cairne Bloodhoof,LEGENDARY,HAND,232,62.5
PALADIN,Emperor Thaurissan,LEGENDARY,HAND,231,54.55
DRUID,Baron Geddon,LEGENDARY,HAND,226,60.18
DRUID,Twin Emperor Vek'lor,LEGENDARY,HAND,224,47.77
MAGE,Harrison Jones,LEGENDARY,HAND,224,57.59
PALADIN,"N'Zoth, the Corruptor",LEGENDARY,HAND,210,67.14
PALADIN,Bloodmage Thalnos,LEGENDARY,HAND,203,61.08
HUNTER,Don Han'Cho,LEGENDARY,HAND,202,39.6
WARLOCK,Big Game Hunter,EPIC,HAND,201,58.71
ROGUE,Lotus Assassin,EPIC,HAND,200,32
HUNTER,Sylvanas Windrunner,LEGENDARY,HAND,196,38.78
PRIEST,C'Thun,LEGENDARY,HAND,196,68.88
WARRIOR,Crazed Worshipper,EPIC,HAND,196,43.88
WARLOCK,Cairne Bloodhoof,LEGENDARY,HAND,194,67.01
WARRIOR,"N'Zoth, the Corruptor",LEGENDARY,HAND,194,56.19
PRIEST,Fel Orc Soulfiend,EPIC,HAND,187,36.36
PALADIN,"Finja, the Flying Star",LEGENDARY,HAND,184,42.39
WARRIOR,Malkorok,LEGENDARY,HAND,177,46.89
DRUID,Ysera,LEGENDARY,HAND,175,76
PRIEST,Auctionmaster Beardo,LEGENDARY,HAND,174,50
SHAMAN,Emperor Thaurissan,LEGENDARY,HAND,174,43.1
SHAMAN,Lotus Illusionist,EPIC,HAND,170,60.59
WARLOCK,Elise Starseeker,LEGENDARY,HAND,170,48.82
PALADIN,Harrison Jones,LEGENDARY,HAND,164,59.15
WARLOCK,Sergeant Sally,LEGENDARY,HAND,164,60.37
